item,n30,n60,n90,n30_25kwh,n30_50kwh,n30_75kwh,n60_25kwh,n60_50kwh,n60_75kwh,n90_25kwh,n90_50kwh,n90_75kwh
electricity bill,6051967.9287848435,3491151.7917151903,1133284.0698281173,5809481.759491325,5685953.422505133,5615810.126855618,3242091.674276013,3074611.926444046,2938626.493912662,885973.1427495223,699213.7284498392,540329.6963678882
initial_investment,43500000.0,50250000.0,57750000.0,50500000.0,59500000.0,85500000.0,57250000.0,66250000.0,92250000.0,64750000.0,73750000.0,99750000.0
10-year price,206.64637307931673,187.75530544151658,173.88251569818877,222.19565239391366,244.93868569062286,314.80593175519454,203.21667827227574,225.30894076058632,294.22551385829786,189.37290538224445,211.1909895377556,279.73949437883164
npv,-9772459.962429777,-2844910.0235686526,2244451.93153508,-15475806.409190036,-23817026.236502573,-49442155.37321283,-8516613.587547757,-16621231.549807094,-41900029.25328411,-3438705.284848325,-11443129.206838079,-36593065.1080134
irr,0.05735423568679665,0.10460549732167967,0.12980691077855866,0.032609445003687565,0.0023357248131079533,-0.06317394718636316,0.07921794849543828,0.0495636674934159,-0.016200466413542114,0.10554988419798073,0.07741022209643988,0.013387743082033277
