Faculty Building NO or complex NO.;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
C;Maximum consumption (per hour):;215.558;kWh;25.11.2021 13-14;;;;;;;;;;;;;;;;;;;;;
;Minimum consumption (per hour):;63.988;kWh;14.11.2021 05-06;;;;;;;;;;;;;;;;;;;;;
;Date / Time;00 till 01 o'clock;01 till 02 o'clock;02 till 03 o'clock;03 till 04 o'clock;04 till 05 o'clock;05 till 06 o'clock;06 till 07 o'clock;07 till 08 o'clock;08 till 09 o'clock;09 till 10 o'clock;10 till 11 o'clock;11 till 12 o'clock;12 till 13 o'clock;13 till 14 o'clock;14 till 15 o'clock;15 till 16 o'clock;16 till 17 o'clock;17 till 18 o'clock;18 till 19 o'clock;19 till 20 o'clock;20 till 21 o'clock;21 till 22 o'clock;22 till 23 o'clock;23 till 24 o'clock
;01.11.2021;141.998;144.132;144.566;141.976;140.798;141.902;155.16;157.78;175.294;157.516;163.14;188.546;190.744;189.312;187.818;182.822;182.87;157.212;150.6;151.09;151.704;151.544;147.502;145.506
;02.11.2021;146.562;145.724;144.358;145.716;144.746;144.81;160.154;159.214;174.276;179.66;184.65;188.12;188.03;185.726;184.542;180.56;170.944;146.416;141.836;141.208;143.188;143.752;138.704;138.578
;03.11.2021;140.342;140.644;140.142;139.836;140.634;139.506;154.53;158.402;177.544;196.342;203.066;204.412;197.616;201.132;199.776;193.136;183.396;157.424;152.364;153.328;153.086;152.056;150.45;149.85
;04.11.2021;150.05;149.794;151.876;151.282;150.566;152.404;163.312;168.95;187.304;195.836;194.578;207.458;204.642;207.228;201.928;189.624;185.994;160.322;150.276;149.47;149.636;148.322;147.554;149.144
;05.11.2021;146.396;145.812;148.034;146.786;147.772;145.734;160.728;156.834;179.462;190.932;195.76;204.274;206.864;201.77;198.462;196.27;184.342;157.692;151.146;148.434;148.494;151.522;146.424;149.37
;06.11.2021;148.9;147.648;147.268;146.44;149.35;146.978;147.408;149.9;148.224;148.252;151.906;149.7;145.49;149.222;149.082;149.318;152.994;150.634;149.722;156.842;156.574;157.77;158.57;151.944
;07.11.2021;150.304;151.892;149.172;149.118;147.92;149.554;147.238;145.52;144.65;142.864;141.868;144.726;141.91;142.53;142.37;143.622;143.06;147.946;146.988;149.864;150.792;148.188;147.922;149.97
;08.11.2021;149.854;149.51;148.594;151.638;152.226;151.882;164.588;170.752;185.338;197.502;205.542;208.624;204.3;205.028;199.262;192.716;191.186;167.628;160.254;155.748;156.748;156.332;153.662;151.876
;09.11.2021;152.694;150.702;151.714;151.678;153.244;152.526;166.846;171.244;186.832;195.612;197.284;202.524;199.086;195.022;189.904;191.458;191.044;164.824;156.398;154.596;154.818;152.756;157.654;159.402
