Faculty Building NO or complex NO.;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
C;Maximum consumption (per hour):;245.298;kWh;09.12.2021 14-15;;;;;;;;;;;;;;;;;;;;;
;Minimum consumption (per hour):;140.38;kWh;26.12.2021 13-14;;;;;;;;;;;;;;;;;;;;;
;Date / Time;00 till 01 o'clock;01 till 02 o'clock;02 till 03 o'clock;03 till 04 o'clock;04 till 05 o'clock;05 till 06 o'clock;06 till 07 o'clock;07 till 08 o'clock;08 till 09 o'clock;09 till 10 o'clock;10 till 11 o'clock;11 till 12 o'clock;12 till 13 o'clock;13 till 14 o'clock;14 till 15 o'clock;15 till 16 o'clock;16 till 17 o'clock;17 till 18 o'clock;18 till 19 o'clock;19 till 20 o'clock;20 till 21 o'clock;21 till 22 o'clock;22 till 23 o'clock;23 till 24 o'clock
;01.12.2021;147.29;146.326;146.13;146.43;146.908;146.438;161.23;167.69;182.396;197.818;201.506;199.962;202.17;199.188;200.78;200.444;197.568;184.592;172.35;168.174;162.48;155.238;151.162;150.842
;02.12.2021;147.698;148.522;148.786;150.92;148.942;149.756;163.008;171.678;187.956;205.476;217.992;224.452;225.246;227.548;228.178;221.19;212.572;189.056;182.32;175.416;168.708;160.246;155.87;153.15
;03.12.2021;154.742;154.624;155.952;155.2;156.182;155.198;173.258;176.9;190.588;200.034;210.998;218.096;222.914;220.652;216.58;208.678;204.556;196.736;185.876;180.6;175.534;158.346;151.518;152.426
;04.12.2021;152.358;152.81;152.114;152.64;152.958;154.43;153.876;165.912;169.888;173.976;171.866;170.812;170.868;171.822;174.172;175.606;177.398;162.012;157.424;154.632;156.06;154.676;153.974;151.718
;05.12.2021;153.088;151.668;152.536;151.258;153.662;151.608;154.974;153.838;154.11;152.816;153.394;152.03;154.538;155.674;156.33;156.316;161.038;161.694;160.792;159.962;161.012;160.978;161.818;161.938
;06.12.2021;161.152;162.322;160.298;159.794;160.904;160.474;172.616;183.354;199.908;214.042;221.772;224.936;225.958;230.248;220.346;220.5;220.72;213.65;204.754;193.312;185.924;172.406;163.846;162.926
;07.12.2021;164.78;163.362;162.892;162.194;163.816;163.292;172.146;185.224;198.408;213.334;230.822;231.9;223.684;226.346;219.096;222.786;221.316;211.094;200.732;194.8;187.238;173.01;165.872;163.636
;08.12.2021;163.1;163.904;161.364;163.578;166.826;165.77;175.478;189.502;210.688;219.034;224.17;224.97;230.124;228.584;226.72;232.238;235.376;214.578;202.14;198.998;190.972;176.014;165.412;165.104
;09.12.2021;163.998;163.03;163.824;163.284;163.758;165.11;173.046;186.822;211.128;227.012;236.956;244.474;237.124;234.11;245.298;239.528;236.686;206.518;202.782;195.326;190.564;176.66;168.216;164.99
;10.12.2021;166.28;164.84;165.712;164.882;165.408;167.096;177.128;186.266;207.824;217.41;229.46;228.044;222.748;224.674;224.246;220.524;218.666;202.262;193.35;188.596;179.844;165.296;159.836;157.75
;11.12.2021;157.342;159.574;157.306;156.578;157.506;157.95;158.076;166.05;171.606;173.574;177.136;183.674;182.216;178.194;180.908;179.308;178.48;166.614;159.912;157.764;158.996;156.37;154.61;156.656
;12.12.2021;155.446;156.002;157.644;156.344;155.806;157.374;157.218;156.024;158.476;157.734;156.308;154.644;155.262;153.356;154.352;157.298;158.528;158.854;160.146;158.022;159.45;162.876;160.442;157.47
;13.12.2021;157.246;156.824;156.674;158.078;156.496;157.544;167.97;177.126;189.858;208.29;213.918;214.966;209.288;213.15;230.272;227.148;221.02;201.824;190.166;184.666;180.28;167.856;161.71;160.12
;14.12.2021;159.534;160.506;158.412;158.8;159.742;158.858;166.04;178.076;191.74;205.87;218.656;222.946;220.734;227.696;227.668;225.684;221.476;201.618;188.74;182.526;175.99;162.812;158.546;154.708
;15.12.2021;154.98;155.658;154.758;154.346;155.43;154.286;162.942;172.422;190.306;203.096;211.936;214.274;215.688;213.752;214.644;213.944;212.086;198.838;192.544;185.698;175.936;160.804;154.696;152.16
;16.12.2021;152.042;153.262;151.194;150.598;152.17;150.828;160.822;168.424;190.254;209.784;211.148;213.912;209.952;208.958;204.668;208.964;205.948;193.136;185.868;180.26;175.696;161.88;153.67;151.772
;17.12.2021;150.896;153.26;151.382;152.61;152.852;153.248;170.928;173.628;180.93;198.418;207.282;202.014;204.518;201.304;200.308;205.51;200.002;192.668;182.056;177.69;173.604;161.182;157.352;155.046
;18.12.2021;154.26;155.416;154.098;153.532;155.14;154.196;154.606;166.156;166.644;168.626;174.152;177.36;182.684;179.162;176.362;178.592;176.1;162.258;156.006;153.84;154.396;153.752;151.064;151.05
;19.12.2021;152.052;151.986;151.18;153.27;152.624;152.256;152.818;154.18;151.932;151.81;153.442;152.49;150.982;154.366;153.054;154.762;155.936;155.834;155.696;155.132;153.968;153.77;154.6;153.262
;20.12.2021;153.304;155.216;154.262;155.48;155.812;157.102;167.314;184.354;194.446;207.432;213.868;220.768;219.542;218.706;218.752;217.454;218.366;209.25;205.652;197.404;187.116;168.594;161.156;161.46
;21.12.2021;159.83;160.312;161.51;159.294;160.068;159.444;173.482;189.806;193.09;212.674;225.858;231.448;237.588;231.028;231.804;235.584;231.222;213.526;206.49;203.554;195.804;173.44;166.71;164.652
;22.12.2021;164.864;166.014;164.242;163.432;164.514;162.922;174.684;190.858;198.752;215.876;217.038;218.418;217.288;209.886;204.806;207.03;203.396;191.25;183.418;179.228;177.668;162.204;151.596;152.922
;23.12.2021;152.486;153.354;153.16;154.16;153.312;155.238;166.564;179.556;194.92;204.628;203.36;207.534;204.544;199.386;180.468;179.926;176.622;171.228;169.89;168.568;166.688;152.836;148.306;148.064
;24.12.2021;146.704;147.344;148.738;147.372;147.744;150.084;158.39;159.084;152.954;150.66;149.148;151.892;149.26;148.904;150.458;152.95;155.568;155.688;155.004;153.868;153.826;151.18;146.834;147.32
;25.12.2021;152.012;150.296;150.17;151.108;150.794;151.616;153.71;152.592;152.99;157.104;152.448;152.878;153.666;151.584;151.25;154.506;156.918;155.76;152.312;152.604;151.188;149.584;145.92;143.596
;26.12.2021;141.854;142.154;140.74;140.598;142.486;143.824;144.606;146.304;143.89;142.862;144.672;142.844;141.334;140.38;141.622;141.534;144.49;146.182;144.504;145.112;146.016;144.52;144.674;144.792
;27.12.2021;143.928;143.796;146.156;144.206;143.334;145.376;157.032;170.52;182.256;187.612;201.572;204.702;203.39;200.756;200.72;197.28;191.816;181.722;174.778;169.676;167.65;152.12;147.438;148.096
;28.12.2021;146.756;146.724;147.972;148.138;148.8;149.292;163.29;178.996;185.89;204.974;213.614;215.882;210.03;203.306;203.454;202.334;201.448;191.146;184.794;181.532;177.152;165.75;157.276;157.212
;29.12.2021;156.584;155.832;155.044;154.802;155.728;154.596;167.188;180.472;188.41;198.898;206.252;205.606;204.96;209.354;203.956;203.844;205.768;195.276;190.64;187.564;184.118;174.944;163.788;157.552
;30.12.2021;156.196;157.184;155.706;156.56;156.52;155.302;168.838;182.114;189.334;201.458;208.68;219.25;213.248;209.548;192.332;186.066;185.078;182.42;178.076;175.78;173.68;161.046;156.968;155.84
;31.12.2021;156.486;157.33;154.858;153.884;155.028;154.328;170.466;172.294;159.196;157.59;155.566;157.908;155.862;155.598;155.838;157.008;160.218;159.076;158.432;159.188;158.324;153.474;151.244;152.542
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
B;Maximum consumption (per hour):;281.958;kWh;02.12.2021 12-13;;;;;;;;;;;;;;;;;;;;;
;Minimum consumption (per hour):;84.328;kWh;31.12.2021 12-13;;;;;;;;;;;;;;;;;;;;;
;Date / Time;00 till 01 o'clock;01 till 02 o'clock;02 till 03 o'clock;03 till 04 o'clock;04 till 05 o'clock;05 till 06 o'clock;06 till 07 o'clock;07 till 08 o'clock;08 till 09 o'clock;09 till 10 o'clock;10 till 11 o'clock;11 till 12 o'clock;12 till 13 o'clock;13 till 14 o'clock;14 till 15 o'clock;15 till 16 o'clock;16 till 17 o'clock;17 till 18 o'clock;18 till 19 o'clock;19 till 20 o'clock;20 till 21 o'clock;21 till 22 o'clock;22 till 23 o'clock;23 till 24 o'clock
;01.12.2021;120.408;121.078;121.314;121.668;121.7;121.584;124.71;145.172;208.102;240.482;259.576;257.162;252.352;249.678;248.852;249.47;252.558;220.894;170.394;169.15;163.986;138.866;129.172;121.096
;02.12.2021;120.756;121.278;121.332;121.758;121.854;121.942;127.338;149.656;199.818;225.95;256.642;278.008;281.958;272.072;268.866;261.944;250.822;231.012;181.034;168.564;157.098;134.848;118.404;113.748
;03.12.2021;113.812;114.592;114.316;114.47;114.804;114.43;115.452;142.416;195.464;215.72;240.218;248.046;244.254;244.046;228.778;227.142;225.634;191.776;172.692;159.296;135.552;128.414;118.862;112.046
;04.12.2021;117.076;116.666;116.854;116.84;117.368;116.44;116.294;119.334;122.05;128.306;127.282;127.696;122.788;119.186;120.998;124.37;126.986;125.942;122.86;121.314;118.614;118.04;116.954;114.062
;05.12.2021;113.8;113.97;113.722;113.75;114.33;113.768;114.536;114.016;113.646;114.232;113.934;112.268;112.018;113.522;112.538;113.392;114.52;114.802;114.76;114.186;113.33;112.646;113.52;111.912
;06.12.2021;108.25;108.168;108.258;107.87;108.524;108.282;110.562;140.822;198.678;237.6;248.48;252.654;259.718;249.676;237.848;240.836;244.098;230.304;179.41;166.22;159.718;130.7;123.764;119.724
;07.12.2021;115.25;114.042;114.008;114.808;114.114;114.616;116.788;145.694;212.328;238.634;251.516;255.92;273.754;277.158;274.526;266.78;261.444;220.986;157.274;147.064;135.744;116.04;109.782;104.89
;08.12.2021;102.394;102.062;102.15;102.482;102.896;102.128;103.538;130.13;191.566;216.644;232.816;234.988;231.508;232.044;224.606;235.676;244.782;226.738;174.538;161.154;150.038;127.89;114.002;111.272
;09.12.2021;111.708;110.912;111.602;110.556;111.284;111.49;112.438;139.774;197.498;229.166;241.658;257.19;256.376;259.236;248.67;238.772;235.89;220.804;166.342;157.422;149.284;119.872;111.682;109.334
;10.12.2021;107.96;108.362;107.702;107.598;106.646;108.016;111.088;139.84;193.652;223.248;239.982;253.754;240.452;236.306;224.142;227.144;225.754;190.996;179.536;163.988;143.986;141.338;129.434;124.92
;11.12.2021;125.574;125.364;125.502;125.898;125.116;125.206;126.402;126.094;127.7;128.422;132.246;133.492;135.982;134.612;132.95;134.666;136.16;134.748;133.532;130.928;126.906;126.076;123.908;124.218
;12.12.2021;123.7;123.176;122.744;123.098;123.51;124.328;123.902;124.436;125.09;123.78;123.902;124.282;124.602;123.09;124.292;125.642;125.91;126.834;125.38;124.496;124.844;123.732;124.57;122.506
;13.12.2021;121.722;121.218;120.832;121.212;121.214;121.462;122.9;150.892;199.224;239.122;270.018;273.624;274.836;276.022;281.312;271.68;265.326;240.33;187.778;174.734;167.224;144.802;135.048;130.708
;14.12.2021;127.662;128.04;127.332;126.29;126.392;125.84;128.272;159.364;214.64;242.874;256.47;261.576;265.14;274.724;273.38;269.948;256.912;238.41;195.794;182.494;169.98;150.072;136.638;127.948
;15.12.2021;126.904;126.272;127.168;126.492;125.752;110.896;110.748;133.728;192.03;231.722;249.65;248.882;253.82;256.104;258.382;249.072;241.158;220.25;160.41;154.77;147.806;129.118;115.768;113.442
;16.12.2021;113.612;114.454;113.7;114.25;114.09;114.806;115.128;141.812;203.426;235.182;251.024;247.768;242.7;245.442;234.092;232.016;235.34;218.012;170.826;163.472;152.158;125.47;119.432;113.47
;17.12.2021;113.844;113.942;113.774;112.532;111.748;112.478;113.384;140.806;196.832;235.944;248.954;260.85;256.63;249.182;238.992;239.346;227.656;186.278;172.136;160.654;134.984;123.58;115.888;115.436
;18.12.2021;111.322;112.606;112.338;110.758;111.86;111.31;112.042;112.396;113.246;113.566;116.146;116.346;114.578;116.58;115.582;116.36;117.904;117.894;116.08;114.52;111.676;110.554;110.252;110.542
;19.12.2021;110.314;110.442;109.844;110.868;110.972;110.046;110.248;110.268;111.364;110.72;110.632;110.602;110.44;110.448;111.722;110.568;113.036;113.652;113.162;112.634;113.548;112.56;112.002;111.63
;20.12.2021;110.2;119.922;123.55;123.088;122.924;122.05;124.284;152.912;198.244;234.092;261.188;249.15;242.944;241.35;238.32;238.848;234.274;192.962;169.076;169.16;161.354;142.69;129.642;126.34
;21.12.2021;126.226;126.62;125.33;125.296;124.974;126.614;128.208;156.888;198.53;223.338;239.814;250.626;256.268;263.876;255.776;253.946;242.24;210.646;191.29;183.312;178.45;154.868;138.64;131.908
;22.12.2021;131.132;131.1;129.602;130.114;130.318;131.156;132.374;156.46;207.284;234.32;233.704;241.446;242.87;238.488;235.368;233.87;234.938;200.382;167.072;166.146;157.44;140.118;132.448;129.09
;23.12.2021;128.442;127.374;127.194;118.03;112.558;113.21;115.98;150.276;194.772;205.77;218.98;225.526;221.128;201.85;189.606;171.618;148.966;137.932;135.72;125.864;121.494;121.362;120.058;119.896
;24.12.2021;119.852;119.338;115.278;106.078;105.876;104.832;105.732;111.272;111.734;108.978;108.346;108.634;109.088;109.034;108.562;108.996;108.93;107.896;107.704;107.32;107.632;107.026;108.046;107.812
;25.12.2021;113.302;113.614;113.886;112.836;112.914;112.598;112.5;112.606;112.446;111.246;111.208;110.666;111.316;111.29;111.672;111.944;113.114;113.078;112.944;113.736;112.918;112.274;112.022;111.364
;26.12.2021;111.048;111.04;112.336;111.2;111.344;111.21;111.588;111.224;110.91;109.906;109.536;109.31;109.422;109.374;110.056;110.364;110.656;110.57;111.378;112.386;112.54;110.894;111.514;110.68
;27.12.2021;104.574;104.824;104.808;104.956;104.362;104.378;108.692;133.694;183.226;199.42;207.188;223.262;220.932;208.024;206.962;205.882;210.67;172.632;158.188;146.696;121.624;113.634;110.292;107.208
;28.12.2021;106.81;105.824;105.802;105.714;106.39;105.496;106.378;124.964;165.558;192.618;210.284;215.322;217.572;212.322;208.914;217.084;211.36;172.732;163.688;145.502;122.742;115;112.052;105.888
;29.12.2021;105.47;105.51;105.672;105.65;105.764;105.872;108.112;131.43;170.254;199.152;204.634;202.21;207.648;208.752;205.108;204.008;207.16;161.698;153.484;144.422;125.432;116.482;110.792;107.408
