Faculty Building NO or complex NO.;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
C;Maximum consumption (per hour):;285.774;kWh;31.10.2021 03-04;;;;;;;;;;;;;;;;;;;;;
;Minimum consumption (per hour):;128.99;kWh;03.10.2021 08-09;;;;;;;;;;;;;;;;;;;;;
;Date / Time;00 till 01 o'clock;01 till 02 o'clock;02 till 03 o'clock;03 till 04 o'clock;04 till 05 o'clock;05 till 06 o'clock;06 till 07 o'clock;07 till 08 o'clock;08 till 09 o'clock;09 till 10 o'clock;10 till 11 o'clock;11 till 12 o'clock;12 till 13 o'clock;13 till 14 o'clock;14 till 15 o'clock;15 till 16 o'clock;16 till 17 o'clock;17 till 18 o'clock;18 till 19 o'clock;19 till 20 o'clock;20 till 21 o'clock;21 till 22 o'clock;22 till 23 o'clock;23 till 24 o'clock
;01.10.2021;133.9;130.972;130.81;134.286;132.176;131.062;133.196;162.934;182.558;196.416;209.724;214.272;215.54;207.67;206.912;207.854;198.242;185.59;180.202;179.93;175.78;172.016;142.77;134.17
;02.10.2021;136.604;136.454;134.744;136.006;133.664;133.42;135.422;134.708;137.602;159.358;167.366;172.592;180.514;181.818;178.962;177.952;179.024;178.598;142.836;134.638;136.324;133.948;134.836;135.166
;03.10.2021;133.784;135.808;132.978;132.504;134.896;131.62;131.82;130.86;128.99;132.114;137.138;146.078;137.858;141.33;139.364;139.722;139.578;138.62;138.094;137.214;145.222;143.62;141.848;138.968
;04.10.2021;136.146;133.144;133.592;131.442;132.258;132.002;131.326;162.2;181.964;194.994;213.102;222.934;214.488;216.39;198.058;202.7;190.002;181.308;182.65;178.508;177.252;175.778;143.336;137.702
;05.10.2021;144.686;139.236;142.446;138.336;137.664;131.646;136.18;170.256;192.852;209.898;210.406;220.076;221.128;224.974;214.64;209.416;200.394;192.206;183.87;184.334;181.784;183.108;149.916;138.79
;06.10.2021;137.14;138.052;135.924;133.438;133.528;131.148;133.182;170.824;195.508;195.694;202.862;228.252;217.898;213.828;213.868;210.126;200.012;192.628;193.322;189.52;188.914;185.128;149.094;141.502
;07.10.2021;137.374;139.308;137.164;136.134;136.714;133.304;135;173.464;196.024;208.712;215.164;219.794;220.696;219.356;212.064;204.606;194.97;191.59;198.12;195.996;186.61;178.988;150.404;146.184
;08.10.2021;145.31;145.732;148.022;148.132;146.856;148.63;148.768;186.538;207.05;216.802;216.922;215.402;210.784;216.474;220.046;212.274;208.016;197.792;192.352;186.5;182.558;179.574;146.214;142.57
;09.10.2021;141.86;144.946;144.028;144.326;146.512;145.46;144.838;145.576;148.144;177.124;186.99;185.606;188.104;192.526;194.538;195.654;186.01;184.5;151.842;144.128;145.456;144.042;141.326;142.464
