Faculty Building NO or complex NO.;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
C;Maximum consumption (per hour):;293.538;kWh;08.07.2021 10-11;;;;;;;;;;;;;;;;;;;;;
;Minimum consumption (per hour):;101.984;kWh;11.07.2021 07-08;;;;;;;;;;;;;;;;;;;;;
;Date / Time;00 till 01 o'clock;01 till 02 o'clock;02 till 03 o'clock;03 till 04 o'clock;04 till 05 o'clock;05 till 06 o'clock;06 till 07 o'clock;07 till 08 o'clock;08 till 09 o'clock;09 till 10 o'clock;10 till 11 o'clock;11 till 12 o'clock;12 till 13 o'clock;13 till 14 o'clock;14 till 15 o'clock;15 till 16 o'clock;16 till 17 o'clock;17 till 18 o'clock;18 till 19 o'clock;19 till 20 o'clock;20 till 21 o'clock;21 till 22 o'clock;22 till 23 o'clock;23 till 24 o'clock
;01.07.2021;130.156;130.75;128.546;127.336;126.308;163.32;180.396;188.948;230.054;247.074;252.3;263.292;266.548;262.208;263.872;263.976;263.86;247.212;241.932;236.198;226.358;221.014;154.648;140.142
;02.07.2021;135.764;134.148;134.94;133.928;126.328;130.344;165.41;186.042;213.838;244.714;259.192;259.276;256.664;266.37;264.342;260.09;263.086;244.424;229.266;216.27;211.95;206.4;145.004;128.786
;03.07.2021;130.032;132.606;129.954;127.452;131.928;165.774;172.228;182.302;199.646;207.202;212.078;215.366;211.844;212.444;207.182;208.814;214.922;208.076;202.9;202.038;144.374;129.156;130.64;127.386
;04.07.2021;129.826;127.93;128.86;128.706;124.44;123.142;122.4;123.582;129.522;133.708;134.344;135.044;136.288;141.084;138.048;138.35;144.122;138.548;139.052;139.448;133.81;132.476;127.814;130.906
;05.07.2021;126.732;127.128;127.458;172.388;195.18;193.15;192.124;198.23;215.186;238.996;250.104;252.408;243.804;246.772;249.952;252.79;244.316;234.474;225.386;224.492;217.808;211.782;151.486;134.32
;06.07.2021;135.33;131.908;133.012;134.266;127.152;130.796;171.19;187.666;208.338;223.21;233.628;264.788;260.892;271.61;267.296;213.562;230.128;245.078;255.768;246.472;232.498;222.626;156.566;136.54
;07.07.2021;137.544;134.674;135.508;130.838;128.156;130.272;172.206;194.068;236.338;258.472;266.77;274.25;274.856;280.234;274.75;279.682;284.714;277.15;277.82;270.618;256.194;245.38;168.538;143.686
;08.07.2021;141.26;140.672;142.142;140.108;137.496;138.726;186.22;211.83;251.522;278.15;293.538;290.736;277.852;271.748;274.102;262.956;247.052;220.784;225.134;220.186;214.988;208.018;151.218;136.658
;09.07.2021;134.22;133.144;133.058;137.322;132.202;132.35;183.174;204.952;243.962;267.138;282.012;285.344;284.974;285.552;283.026;288.084;282.648;279.862;168.496;133.854;127.934;124.436;123.552;123.27
;10.07.2021;119.016;120.62;116.646;116.374;114.824;108.092;109.382;108.44;112.174;114.834;117.766;125.498;129.216;130.742;129.226;133.188;131.718;127.744;127.834;124.226;122.16;121.072;116.464;112.49
;11.07.2021;112.238;108.9;107.24;109.358;104.39;102.39;102.6;101.984;104.306;105.306;105.246;110.124;112.382;114.662;111.808;112.248;115.076;114.984;115.25;113.198;109.602;109.244;109.012;108.472
;12.07.2021;107.8;108.534;107.522;108.236;105.664;103.232;102.426;107.204;163.798;246.196;266.682;278.79;281.632;284.656;290.288;286.558;212.204;202.614;198.098;192.422;194.534;192.082;149.41;139.492
;13.07.2021;138.118;134.672;134.942;133.422;134.77;135.618;159.654;171.604;190.05;201.6;213.946;216.378;217.658;227.704;229.316;231.932;223.206;216.286;208.36;204.75;195.788;186.48;146.398;135.406
;14.07.2021;135.132;135.098;134.298;135.984;133.11;133.078;148.216;164.214;190.084;201.124;212.066;217.118;228.336;247.9;249.278;248.184;219.514;193.68;193.762;191.416;190.402;186.63;151.198;143.49
;15.07.2021;142.864;141.96;141.638;141.396;141.516;139.7;159.508;173.846;208.52;224.474;230.222;226.668;235.266;241.402;244.524;245.592;236.638;236.62;233.776;226.774;217.816;214.258;167.972;152.864
;16.07.2021;150.742;152.396;148.69;147.744;145.014;144.552;171.442;190.428;210.642;231.294;237.86;236.232;237.106;239.346;230.612;228.26;228.304;216.618;214.812;209.418;201.352;196.312;158.732;150.568
;17.07.2021;149.226;144.344;145.84;141.5;144.672;167.866;170.224;172.92;182.016;188.754;196.966;198.652;197.39;200.696;195.036;189.25;194.71;194.594;188.074;187.726;156.056;143.542;138.688;138.352
;18.07.2021;137.116;135.61;131.614;135.81;130.852;125.06;129.268;128.302;137.332;140.97;143.054;146.292;150.436;156.652;159.308;156.532;154.608;151.92;151.994;152.16;144.168;144.188;140.226;142.61
;19.07.2021;141.326;142.03;137.314;157.332;165.34;153.616;149.056;156.574;168.724;184.674;184.372;194.766;192.406;198.252;196.138;198.896;201.042;199.488;193.096;188.544;178.508;168.504;147.104;144.248
;20.07.2021;139.688;139.028;141.872;139.608;137.764;136.286;143.972;148.762;171.62;186.058;191.564;197.72;201.27;206.368;205.74;199.116;197.964;198.216;194.554;185.602;183.284;169.924;141.514;139.468
;21.07.2021;140.464;139.328;144.032;139.548;141.318;134.902;151.008;155.344;172.898;193.144;189.536;194.61;189.812;192.46;194.636;193.814;188.544;183.834;185.032;182.888;171.352;158.384;143.694;138.032
;22.07.2021;137.796;138.4;138.69;136.514;137.036;133.09;142.994;151.26;166.69;179.132;189.5;193.978;194.952;202.22;205.094;204.198;198.68;195.702;186.558;181.768;179.404;173.416;144.344;137.948
;23.07.2021;137.694;134.668;138.382;139.576;134.504;135.084;145.534;156.08;178.44;186.46;191.11;197.744;192.954;197.56;197.724;190.994;182.504;181.424;179.326;173.302;164.622;158.12;142.298;140.002
;24.07.2021;137.308;143.154;139.192;137.396;138.77;144.304;148.118;151.492;168.524;171.592;169.088;174.814;167.866;164.948;164.37;164.796;166.984;170.462;169.536;163.08;144.076;133.77;134.576;134.88
;25.07.2021;132.466;133.244;128.362;128.426;132.646;126.644;126.56;129.354;138.898;135.586;139.54;138.934;138.394;142.144;143.252;143.354;144.476;145.674;141.01;148.026;144.412;141.036;138.46;134.322
;26.07.2021;134.286;138.162;134.652;146.444;149.88;147.148;149.406;157.436;178.464;198.768;217.88;220.686;216.756;227.524;231.036;225.446;223.248;217.686;213.772;207.35;202.494;191.896;154.76;142.996
;27.07.2021;143.982;141.25;140.074;139.228;137.878;137.682;156.884;168.082;189.042;209.25;214.36;205.58;194.128;201.596;198.038;193.534;190.02;188.124;179.922;178.042;175.068;177.392;148.662;135.962
;28.07.2021;136.26;136.812;136.79;134.444;136.924;132.76;141.054;158.398;177.078;194.452;197.426;204.638;204.336;214.492;214.94;210.408;185.448;185.692;183.334;174.478;178.388;172.242;144.474;134.992
;29.07.2021;136.744;133.334;136.528;133.158;136.556;133.954;146.91;153.532;183.438;199.234;215.414;216.16;210.988;210.872;204.4;206.938;202.49;193.142;179.416;173.906;173.888;166.924;143.916;134.588
;30.07.2021;132.642;135.2;132.76;130.554;136.654;130.474;139.748;147.718;169.22;179.248;186.06;185.136;179.404;181.806;188.072;182.716;175.856;167.754;153.414;150.944;150.396;146.458;133.756;130.98
;31.07.2021;128.406;134.32;133.1;133.974;135.45;143.898;145.264;142.176;151.902;156.572;162.64;167.4;169.662;168.028;169.048;175.906;176.2;177.368;173.676;169.428;146.524;135.162;134.844;129.044
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
E;Maximum consumption (per hour):;416.7496;kWh;28.07.2021 15-16;;;;;;;;;;;;;;;;;;;;;
;Minimum consumption (per hour):;65.394;kWh;04.07.2021 10-11;;;;;;;;;;;;;;;;;;;;;
;Date / Time;00 till 01 o'clock;01 till 02 o'clock;02 till 03 o'clock;03 till 04 o'clock;04 till 05 o'clock;05 till 06 o'clock;06 till 07 o'clock;07 till 08 o'clock;08 till 09 o'clock;09 till 10 o'clock;10 till 11 o'clock;11 till 12 o'clock;12 till 13 o'clock;13 till 14 o'clock;14 till 15 o'clock;15 till 16 o'clock;16 till 17 o'clock;17 till 18 o'clock;18 till 19 o'clock;19 till 20 o'clock;20 till 21 o'clock;21 till 22 o'clock;22 till 23 o'clock;23 till 24 o'clock
;01.07.2021;71.9796;73.3716;72.8368;79.3412;75.5688;78.1384;100.6852;172.262;260.818;324.8928;340.6796;331.4736;325.5484;321.0616;330.5376;224.6704;223.0044;209.9228;94.7792;112.6776;122.1384;92.9144;80.0692;81.7772
;02.07.2021;79.5008;80.2896;80.1748;81;81.4212;79.9916;111.2904;182.4744;270.2712;329.1024;332.1112;325.5168;330.6276;322.416;325.8804;370.5512;298.3236;283.8344;169.0844;153.9084;151.5084;137.688;79.7132;76.4064
;03.07.2021;72.2968;71.2512;72.7236;71.9528;70.5544;68.9188;76.0208;88.3688;88.4236;162.0888;156.56;155.6308;146.1304;148.9344;139.7996;142.7052;145.9192;89.6844;83.224;76.5964;70.5188;67.712;69.9156;71.0076
