Faculty Building NO or complex NO.;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
C;Maximum consumption (per hour):;214.334;kWh;06.04.2021 10-11;;;;;;;;;;;;;;;;;;;;;
;Minimum consumption (per hour):;122.576;kWh;04.04.2021 18-19;;;;;;;;;;;;;;;;;;;;;
;Date / Time;00 till 01 o'clock;01 till 02 o'clock;02 till 03 o'clock;03 till 04 o'clock;04 till 05 o'clock;05 till 06 o'clock;06 till 07 o'clock;07 till 08 o'clock;08 till 09 o'clock;09 till 10 o'clock;10 till 11 o'clock;11 till 12 o'clock;12 till 13 o'clock;13 till 14 o'clock;14 till 15 o'clock;15 till 16 o'clock;16 till 17 o'clock;17 till 18 o'clock;18 till 19 o'clock;19 till 20 o'clock;20 till 21 o'clock;21 till 22 o'clock;22 till 23 o'clock;23 till 24 o'clock
;01.04.2021;142.488;143.612;141.58;141.648;144.578;144.532;145.388;161.108;185.664;191.6;190.086;196.91;187.564;187.992;172.334;159.156;151.948;149.02;145.784;145.568;152.03;144.47;136.508;138.892
;02.04.2021;139.21;139.768;141.244;139.88;139.918;141.752;138.252;146.61;152.778;152.482;149.822;150.264;147.964;144.904;142.304;141.342;138.554;139.996;142.204;142.872;149.33;142.51;134.556;135.44
;03.04.2021;137.616;137.602;137.422;138.896;138.174;137.794;137.32;144.804;148.366;151.796;153.104;151.238;151.594;154.076;148.694;147.544;136.444;133.874;127.248;129.814;135.212;136.56;137.864;138.296
;04.04.2021;138.17;137.988;139.448;139.16;139.25;140.558;138.706;135.146;137.026;134.288;134.118;133.87;130.254;129.94;128.072;126.476;125.72;124.408;122.576;126.126;131.424;136.286;135.622;137.266
;05.04.2021;139.182;138.586;138.468;138.954;137.958;138.216;136.728;143.004;148.582;141.376;141.238;144.326;141.4;142.508;139.356;139.932;141.412;142.328;143.124;145.062;149.456;145.046;132.8;132.476
;06.04.2021;133.518;133.63;134.69;135.892;135.356;135.996;133.35;154.484;182.886;195.444;214.334;214.17;205.908;198.168;199.208;205.616;191.682;180.998;181.394;177.206;180.008;172.766;160.004;160.964
;07.04.2021;160.342;160.846;163.452;162.494;164.414;162.756;161.994;180.716;196.514;204.852;211.06;209.154;201.784;198.5;185.828;184.402;180.456;168.01;165.256;163.45;166.906;156.08;147.546;147.154
;08.04.2021;148.694;148.738;147.626;146.876;149.378;149.334;148.192;165.098;182.926;199.1;214.134;211.586;201.848;196.018;191.242;184.83;176.888;170.252;162.888;162.362;164.23;151.102;142.846;144.066
;09.04.2021;143.232;145.294;146.124;146.29;146.758;147.726;143.624;166.694;180.77;193.126;195.14;196.46;189.324;181.938;183.754;182.618;174.246;168.978;171.708;168.332;169.524;161.326;146.772;146.018
;10.04.2021;144.92;147.642;146.274;145.976;146.826;145.702;144.678;154.816;157.316;162.578;161.66;162.128;164.45;164.02;159.262;154.922;144.814;142.726;134.408;135.378;140.352;141.132;141.284;142.43
