Faculty Building NO or complex NO.;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
C;Maximum consumption (per hour):;214.124;kWh;31.08.2021 11-12;;;;;;;;;;;;;;;;;;;;;
;Minimum consumption (per hour):;120.182;kWh;22.08.2021 06-07;;;;;;;;;;;;;;;;;;;;;
;Date / Time;00 till 01 o'clock;01 till 02 o'clock;02 till 03 o'clock;03 till 04 o'clock;04 till 05 o'clock;05 till 06 o'clock;06 till 07 o'clock;07 till 08 o'clock;08 till 09 o'clock;09 till 10 o'clock;10 till 11 o'clock;11 till 12 o'clock;12 till 13 o'clock;13 till 14 o'clock;14 till 15 o'clock;15 till 16 o'clock;16 till 17 o'clock;17 till 18 o'clock;18 till 19 o'clock;19 till 20 o'clock;20 till 21 o'clock;21 till 22 o'clock;22 till 23 o'clock;23 till 24 o'clock
;01.08.2021;129.17;130.658;132.32;131.118;130.572;124.62;125.156;128.898;129.488;130.004;130.892;133.51;133.776;134.488;134.036;135.46;138.722;140.21;137.87;136.002;132.99;132.416;134.282;128.966
;02.08.2021;131.134;131.56;129.224;143.008;147.082;143.822;143.976;147.798;171.51;186.854;185.804;182.688;187.486;193.616;188.874;185.842;181.538;179.964;159.314;153.326;152.498;147.072;134.932;127.768
;03.08.2021;126.896;131.962;125.6;126.93;130.402;126.914;136.412;148.276;156.556;171.554;175.124;177.532;184.314;180.08;183.478;180.368;172.568;167.59;155.734;152.868;151.242;148.032;136.418;131.124
;04.08.2021;129.968;129.04;129.812;132.058;128.932;131.8;144.018;149.226;170.448;187.784;190.092;199.67;193.502;191.352;188.12;188.702;185.432;178.144;173.91;168.998;161.954;153.19;137.206;130.926
;05.08.2021;133.222;128.45;128.02;131.302;130.974;123.474;136.6;143.308;167.242;172.364;183.532;187.948;186.626;194.092;188.928;185.322;178.81;172.02;170.51;169.352;158.492;151.048;132.95;127.134
;06.08.2021;127.916;132.772;127.454;129.056;131.79;130.63;138.858;148.038;157.616;185.962;180.144;174.326;174.568;187.798;185;174.582;176.516;171.214;164.36;159.904;157.71;148.758;135.17;134.32
;07.08.2021;132.364;131.286;132.006;130.996;131.448;138.192;144.048;143.46;147.934;153.472;157.15;156.746;161.062;162.256;159.808;158.728;161.42;162.27;157.308;150;138.49;129.816;134.098;129.116
;08.08.2021;128.546;134.666;132.546;132.738;129.834;129.59;128.176;128.258;131.626;136.076;136.75;132.98;137.58;136.288;142.83;138.76;134.534;132.502;134.29;129.448;131.924;133.008;137.064;135.568
;09.08.2021;136.16;134.26;133.404;145.098;144.152;142.848;140.96;148.298;166.296;180.652;185.074;182.154;177.648;185.86;184.024;174.32;170.39;162.004;158.59;160.526;151.296;144.748;136.956;132.064
;10.08.2021;130.64;130.974;130.36;131.34;133.468;128.054;140.416;150.488;160.29;180.246;181.23;188.02;186.99;189.14;195.416;188.454;173.082;165.634;164.8;156.822;155.712;155.854;137.67;135.404
;11.08.2021;136.712;128.726;130.69;132.156;129.504;126.678;138.72;147.842;160.61;173.36;174.62;181.172;175.69;185.272;185.296;183.756;175.65;162.856;156.18;152.08;145.894;147.008;134.138;130.72
;12.08.2021;129.716;130.11;130.06;132.324;131.61;136.44;142.624;153.28;168.814;185.366;185.198;190.12;182.434;178.274;179.206;179.928;172.366;172.91;173.134;166.718;156.706;155.058;136.762;137.138
;13.08.2021;137.994;133.332;134.014;132.5;128.232;125.94;139.484;145.622;172.15;176.256;188.71;191.172;183.666;192.946;190.83;188.16;181.73;178.442;170;164.272;164.736;156.732;134.628;131.066
;14.08.2021;128.044;129.086;130.614;131.588;134.142;146.078;147.24;143.54;152.302;158.482;158.922;159.612;163.05;164.27;166.344;169.184;173.256;166.754;161.85;157.834;140.126;131.588;133.848;136.778
;15.08.2021;135.21;133.746;132.94;133.782;130.454;125.51;125.616;125.892;129.334;129.74;128.756;127.476;127.332;135.488;134.36;136.076;138.214;136.428;136.636;132.636;132.664;129.294;132.342;130.998
;16.08.2021;135.324;129.78;130.962;145.652;150.208;145.25;145.996;152.878;161.612;183.528;193.512;195.958;193.362;205.016;205.192;196.76;197.088;182.536;172.724;164.528;158.854;153.264;141.382;140.174
;17.08.2021;135.014;138.166;138.328;136.004;131.738;134.6;142.768;149.052;172.702;182.276;184.29;185.522;189.3;189.27;191.496;188.518;177.074;163.28;157.414;152.554;153.514;153.322;139.928;137.202
;18.08.2021;137.464;136.52;137.042;139.076;137.674;144.69;148.584;161.332;171.316;181.476;194.11;193.42;186.08;198.874;190.504;187.06;175.234;168.554;163.278;158.068;155.64;155.168;141.452;136.508
;19.08.2021;134.744;133.998;140.394;138.096;136.838;135.232;146.896;156.914;167.93;173.338;183.022;189.538;191.942;192.984;188.382;181.936;172.29;160.454;157.41;148.39;147.514;147.86;134.828;131.488
