Faculty Building NO or complex NO.;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
C;Maximum consumption (per hour):;215.9467;kWh;27.05.2021 11-12;;;;;;;;;;;;;;;;;;;;;
;Minimum consumption (per hour):;109.702;kWh;16.05.2021 05-06;;;;;;;;;;;;;;;;;;;;;
;Date / Time;00 till 01 o'clock;01 till 02 o'clock;02 till 03 o'clock;03 till 04 o'clock;04 till 05 o'clock;05 till 06 o'clock;06 till 07 o'clock;07 till 08 o'clock;08 till 09 o'clock;09 till 10 o'clock;10 till 11 o'clock;11 till 12 o'clock;12 till 13 o'clock;13 till 14 o'clock;14 till 15 o'clock;15 till 16 o'clock;16 till 17 o'clock;17 till 18 o'clock;18 till 19 o'clock;19 till 20 o'clock;20 till 21 o'clock;21 till 22 o'clock;22 till 23 o'clock;23 till 24 o'clock
;01.05.2021;132.1;130.496;131.978;131.328;133.354;128.964;127.512;139.976;144.036;145.692;145.532;144.472;147.532;149.094;151.502;142.794;137.266;137.42;132.286;129.598;129.996;130.816;129.702;130.952
;02.05.2021;131.306;132.138;133.398;133.692;134.418;130.666;129.434;128.47;128.53;128.37;125.328;124.23;124.716;122.284;120.956;124.288;122.846;123.32;122.194;123.146;123.544;127.424;131.098;128.65
;03.05.2021;128.606;130.254;129.112;129.088;129.926;129.686;127.26;142.9727;148.816;147.204;146.935;150.2414;150.4756;150.121;149.7469;149.3258;148.2559;145.36;147.046;146.04;143.5726;141.2229;130.962;131.322
;04.05.2021;132.436;131.564;131.576;132.512;133.02;127.326;127.474;140.3337;143.71;142.756;143.0414;141.9686;142.641;146.5491;146.9271;146.161;145.5717;145.806;142.044;143.04;144.3034;135.6401;127.7683;129.276
;05.05.2021;128.966;128.93;129.124;132.79;132.16;128.644;130.572;152.9334;172.152;186.32;193.1254;185.681;187.3851;183.4445;180.7911;181.5005;172.9244;159.658;155.146;150.688;147.6852;140.5102;126.4518;127.97
;06.05.2021;128.028;130.35;128.932;130.664;132.15;125.058;124.49;149.6716;161.668;175.358;183.4033;186.3027;187.9532;184.6517;183.0131;179.4499;177.6624;167.5;158.386;155.064;151.8693;145.1703;135.8025;134.422
;07.05.2021;133.856;135.214;134.304;133.372;134.204;131.954;131.304;152.3462;165.146;171.692;180.3801;179.8594;181.0304;184.9776;175.6822;173.434;171.1558;158.644;156.15;152.902;145.849;139.2013;129.5565;130.078
;08.05.2021;129.38;130.964;131.782;132.178;131.652;129.352;129.572;145.716;157.426;165.964;172.428;170.654;179.732;174.214;153.874;147.164;132.436;132.008;124.226;122.184;121.346;122.676;127.382;127.074
;09.05.2021;128.294;129.968;130.254;131.084;131.66;125.668;124.502;128.27;132.124;131.242;128.798;130.508;127.06;127.138;131.784;130.118;130.716;132.522;128.256;126.468;126.156;129.732;129.938;129.966
;10.05.2021;131.346;129.024;129.628;132.476;129.22;124.174;123.262;144.5007;158.988;175.7;193.6989;189.2717;192.0978;193.8282;190.3837;189.2521;182.7857;171.974;171.234;164.736;156.4526;147.4606;129.1232;129.302
;11.05.2021;128.832;127.858;128.184;131.974;131.708;128.598;131.006;145.3441;163.74;172.932;180.5392;190.3186;194.6726;194.2624;195.7783;191.6584;184.8433;180.26;173.64;168.242;166.4538;149.6246;135.8079;137.866
;12.05.2021;138.742;134.468;130.298;134.862;133.846;128.276;127.65;146.8744;165.51;184.15;195.7721;194.3787;192.641;198.9338;190.9479;190.1769;190.8161;183.57;173.862;168.436;162.7558;144.3509;131.3372;134.382
;13.05.2021;129.972;126.512;131.864;130.494;125.83;123.096;122.512;142.9738;155.824;177.934;193.8082;195.2525;188.7126;190.4861;181.6791;179.2501;168.8014;159.868;159.394;155.768;150.691;140.9229;128.4304;123.528
;14.05.2021;123.014;123.342;124.786;123.794;120.126;115.128;119.666;141.3484;160.054;175.96;186.8088;184.359;187.9445;193.0351;184.2225;168.493;164.6814;149.314;148.628;146.248;136.6682;130.9564;129.5972;128.374
