Faculty Building NO or complex NO.;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
C;Maximum consumption (per hour):;217.248;kWh;09.03.2021 12-13;;;;;;;;;;;;;;;;;;;;;
;Minimum consumption (per hour):;0;kWh;28.03.2021 03-04;;;;;;;;;;;;;;;;;;;;;
;Date / Time;00 till 01 o'clock;01 till 02 o'clock;02 till 03 o'clock;03 till 04 o'clock;04 till 05 o'clock;05 till 06 o'clock;06 till 07 o'clock;07 till 08 o'clock;08 till 09 o'clock;09 till 10 o'clock;10 till 11 o'clock;11 till 12 o'clock;12 till 13 o'clock;13 till 14 o'clock;14 till 15 o'clock;15 till 16 o'clock;16 till 17 o'clock;17 till 18 o'clock;18 till 19 o'clock;19 till 20 o'clock;20 till 21 o'clock;21 till 22 o'clock;22 till 23 o'clock;23 till 24 o'clock
;22.03.2021;63.9972;58.0404;51.5652;49.83;49.1988;48.114;50.478;67.1996;56.9988;66.57;81.4904;85.2606;93.3731;91.4042;87.7104;92.7955;87.9217;73.758;83.9604;82.7844;106.255;106.4805;101.3873;74.9124
;23.03.2021;64.6176;57.1644;54.0768;49.6224;47.5788;47.3544;50.316;67.0398;59.5416;69.3612;83.9;87.4324;88.774;91.4554;97.9237;83.5714;92.3237;72.3912;76.2168;80.6268;101.7357;99.7556;95.1749;66.1008
;24.03.2021;59.2632;56.682;49.6392;47.0208;45.4788;45.4728;48.5544;67.416;60.2784;60.372;82.0505;90.7442;96.9366;97.7259;101.9633;89.0978;90.3633;77.976;81.39;81.4956;105.51;99.1214;89.5888;69.5856
;25.03.2021;63.5424;53.2836;49.164;46.6536;45.2952;44.6856;46.6788;63.996;56.7336;60.6888;83.7417;87.3831;94.5104;94.7808;94.1612;89.3847;91.8447;70.818;79.134;86.07;101.939;106.1267;98.6641;68.7876
;26.03.2021;61.6728;54.3828;50.688;47.8428;47.178;46.2168;47.9364;63.908;57.0192;62.376;81.823;83.4775;92.821;93.7629;88.4615;84.5102;83.3895;65.7792;67.9212;73.8804;91.0645;95.4497;99.166;72.3516
;27.03.2021;65.472;59.6628;52.3488;49.8372;47.8512;47.3568;46.7424;49.4148;51.5388;55.5336;58.7232;65.1024;64.908;64.164;65.2644;67.3356;65.4696;67.5324;68.802;74.0112;79.4004;75.504;69.78;67.8132
;28.03.2021;59.1876;57.5904;54.7188;0;53.31;50.0472;49.4268;48.3576;49.9092;50.7912;54.7188;58.2156;65.2164;70.9764;68.5956;65.9352;71.2872;67.2612;68.8056;73.8264;77.0964;77.2188;79.3428;71.3856
;29.03.2021;66.2196;61.1628;55.17;49.362;48.5316;47.4456;50.3712;67.2802;56.2872;63.1692;83.0021;84.3752;86.9179;86.4412;91.173;90.1224;94.3701;77.2704;80.5908;80.7804;103.8415;111.6668;104.3255;75.372
;30.03.2021;65.8032;59.9028;56.3436;49.938;47.8296;47.8788;48.6084;65.9756;56.784;65.5572;81.8028;84.8801;92.7114;90.2408;96.006;89.643;92.1002;76.3884;80.8104;81.2124;103.3615;98.8593;97.7784;74.292
;31.03.2021;65.6424;56.7756;51.624;49.6104;47.6088;46.0812;48.4932;63.8098;55.5796;64.4928;80.5067;87.2679;92.1791;94.7428;101.2807;89.7464;96.9147;71.1492;74.814;80.2044;102.0227;98.9489;99.3492;69.0372
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
F ;Maximum consumption (per hour):;7.2844;kWh;03.03.2021 19-20;;;;;;;;;;;;;;;;;;;;;
;Minimum consumption (per hour):;0;kWh;28.03.2021 03-04;;;;;;;;;;;;;;;;;;;;;
;Date / Time;00 till 01 o'clock;01 till 02 o'clock;02 till 03 o'clock;03 till 04 o'clock;04 till 05 o'clock;05 till 06 o'clock;06 till 07 o'clock;07 till 08 o'clock;08 till 09 o'clock;09 till 10 o'clock;10 till 11 o'clock;11 till 12 o'clock;12 till 13 o'clock;13 till 14 o'clock;14 till 15 o'clock;15 till 16 o'clock;16 till 17 o'clock;17 till 18 o'clock;18 till 19 o'clock;19 till 20 o'clock;20 till 21 o'clock;21 till 22 o'clock;22 till 23 o'clock;23 till 24 o'clock
;01.03.2021;1.2412;1.2985;1.3126;1.3041;1.2404;1.3231;2.4024;1.3989;2.1721;2.6097;2.5753;5.5061;4.2328;3.449;4.0215;3.3309;5.3903;4.6638;2.0954;1.1512;1.2042;1.226;1.2534;1.1338
;02.03.2021;1.17;1.1876;1.2309;1.2118;1.1286;1.2539;2.3346;1.3083;2.2182;3.0054;2.6589;4.1307;3.4465;2.5919;2.5476;2.8586;2.8768;1.4107;1.9438;3.4785;3.5202;2.4948;1.1257;1.2044
;03.03.2021;1.2398;1.2321;1.2691;1.324;1.28;1.3216;2.4321;1.411;1.7415;2.5598;2.9332;3.0013;4.0912;4.3199;2.699;2.3154;2.2682;2.4338;4.2789;7.2844;3.3037;1.2444;1.3002;1.3036
;04.03.2021;1.364;1.3112;1.3482;1.2811;1.3105;1.4507;2.2814;1.5045;2.0642;2.9276;3.7194;6.2248;4.1956;2.7356;3.4984;4.583;2.7612;2.0476;4.0564;4.2142;2.0673;2.0918;1.7129;2.3932
;05.03.2021;3.7072;1.5399;1.446;1.4419;1.4478;1.4855;2.5278;1.5825;2.0594;2.5165;2.4309;3.7804;2.7305;2.2193;2.9897;5.1479;2.2642;3.7892;2.1938;2.3558;5.0618;5.0433;4.9128;2.2782
;06.03.2021;3.7765;3.6846;2.1488;1.4355;1.5724;1.4794;1.4754;1.5082;1.4413;1.9478;2.9844;1.2419;1.289;1.411;1.3135;1.2866;2.7666;2.5225;1.3602;1.3586;1.3505;2.5268;3.5886;3.6305
;07.03.2021;1.3518;1.311;1.4508;1.5054;1.4725;1.4664;1.4682;1.5278;1.4339;1.3585;1.2577;1.4401;1.3562;1.3136;1.2848;1.3977;1.4438;1.4458;1.4623;1.4383;1.4231;1.3733;1.5947;1.4453
;08.03.2021;1.4084;1.4649;1.5656;1.5213;1.4132;1.5092;2.7493;1.8665;3.2349;3.9298;3.6265;3.6923;3.0359;4.8762;6.4524;7.1745;3.5748;2.6783;3.2815;2.0655;3.8373;5.3846;7.0854;5.5317
;09.03.2021;3.6669;3.6696;3.0918;1.554;1.5321;1.5012;2.7205;1.7207;2.2634;2.8808;2.6188;2.2925;3.6128;2.993;4.4851;4.1035;2.4934;1.3867;1.3264;3.3405;3.5042;3.0271;1.47;1.3856
;10.03.2021;1.3704;1.3629;1.5424;1.3662;1.3993;1.4394;2.5995;1.7088;2.5506;2.8815;2.6785;2.7854;2.8036;3.4959;3.5326;3.3602;3.1017;2.5485;3.4968;2.6365;2.6635;3.9041;3.7071;3.5836
;11.03.2021;3.5697;3.5792;2.702;1.4286;1.3743;1.4416;2.5896;1.5914;1.9686;2.5493;4.5532;4.6558;2.447;5.0674;3.7551;2.7792;2.8492;2.7187;3.5913;3.5385;2.5049;1.4193;1.4412;1.5039
;12.03.2021;1.4499;1.546;1.4231;1.4383;1.5508;1.557;2.5664;1.538;2.1064;3.2289;3.0338;4.8982;3.1543;6.5373;5.0801;4.9795;2.28;1.6524;1.3169;3.1401;4.9025;5.2223;4.8924;3.5841
;13.03.2021;3.0929;1.2661;1.3525;1.3892;1.2774;1.2646;1.314;1.4802;1.3735;1.2162;1.3648;1.4112;1.3007;1.3529;1.3191;1.2631;1.4153;1.3297;2.4475;1.9715;1.3091;2.713;3.6031;3.5141
;14.03.2021;3.5915;3.4597;3.5424;1.3483;1.3318;1.313;1.4026;1.3458;1.4035;1.3112;1.3711;1.2649;1.4546;1.3125;1.3068;1.2567;1.4674;1.3109;1.3503;1.2497;1.3805;1.3259;1.3433;1.2669
;15.03.2021;1.3987;1.3465;1.4059;1.3111;1.3186;1.4443;2.4766;1.5829;2.106;2.6692;3.03;5.839;4.9952;5.3926;2.7075;4.3285;2.7146;1.9677;2.3579;3.0954;1.8845;4.8396;4.7712;2.7699
;16.03.2021;1.246;1.2698;1.2091;1.1913;1.3314;1.329;2.2956;1.2733;1.8342;2.1424;2.1996;2.2014;2.1862;4.1875;4.4308;3.1672;2.0011;1.3474;1.0938;1.0421;1.0758;1.0413;0.9904;1.0677
;17.03.2021;1.1239;1.1223;1.0752;1.1103;1.1324;1.2288;2.3917;1.3069;1.6559;2.5937;3.0109;2.8376;3.0104;2.6644;2.5783;4.4691;2.0594;1.7566;1.8041;1.4428;1.8803;4.6299;6.4526;3.7639
;18.03.2021;1.1576;1.2124;1.1666;1.1119;1.1903;1.2374;2.2909;1.3564;1.9275;4.0492;5.0464;3.2177;4.7455;4.0891;6.4346;3.0597;1.8011;1.1404;2.9147;3.5087;3.5762;1.352;1.124;1.3267
;19.03.2021;1.3042;1.308;1.3136;1.3226;1.2966;1.4232;2.4487;1.3752;3.5622;4.9628;2.3571;5.1394;5.6404;5.5249;2.015;1.961;1.4868;1.1465;1.1103;2.0096;2.553;1.2813;3.2098;3.4919
;20.03.2021;3.4764;3.5013;3.433;2.4664;1.2428;1.2956;1.301;1.2731;1.2373;1.2016;1.1722;1.1486;1.0458;1.1214;1.0679;1.1864;1.1139;1.087;1.1879;1.2793;1.2198;1.2363;1.1121;1.2979
;21.03.2021;1.2153;1.1894;1.1922;1.174;1.1857;1.108;1.0732;1.1852;1.2004;1.1237;1.116;1.6407;2.5614;1.1252;1.1069;1.3173;3.1042;1.1777;1.0684;1.0597;1.0859;1.1253;1.1838;1.0786
;22.03.2021;1.0976;1.205;1.1498;1.128;1.1122;1.2613;2.3324;1.2469;1.3471;1.6339;1.6228;1.5716;1.7279;1.6345;1.8958;2.1522;2.1726;1.8846;1.6343;1.6208;1.4031;1.177;1.0514;1.1649
;23.03.2021;1.1424;1.2094;1.1671;1.106;1.1714;1.3179;2.1483;1.1047;1.3605;2.1325;2.1288;2.9158;3.6902;4.5303;4.3855;3.5002;1.8918;1.1036;1.1022;1.3056;1.2127;1.0866;1.0598;1.1091
;24.03.2021;1.1812;1.1666;1.0837;1.0877;1.1116;1.2352;2.2719;1.7981;3.8404;4.3062;3.9025;2.9834;2.6436;2.7462;2.6169;2.6824;2.1405;1.4532;1.4267;1.1588;1.1663;1.0978;1.1157;1.1144
;25.03.2021;1.1502;1.0918;1.0921;1.0955;1.1222;1.1726;2.1897;1.3337;3.8894;2.5405;2.3091;2.3646;2.3922;2.6965;2.7786;2.6423;2.5368;1.4136;1.6528;1.6522;1.2755;1.0429;1.1582;1.1074
;26.03.2021;1.0494;1.1166;1.0717;1.1324;1.0987;1.0708;2.0313;2.3624;3.7222;4.3826;4.3754;4.3587;2.0475;3.4004;2.0903;1.6975;1.5637;1.3322;3.3661;2.0477;1.2566;1.0923;1.0449;1.0092
;27.03.2021;1.0522;1.0211;1.0611;1.0619;0.9848;1.0004;1.1138;1.0998;1.0255;1.0023;1.0539;1.1145;1.0847;2.2165;3.3444;3.3437;3.3274;3.0625;1.0568;1.1197;1.0023;1.0528;1.0121;1.0838
;28.03.2021;1.1123;0.9694;1.0214;0;1.0651;1.0879;1.0095;1.0207;1.0364;1.0784;1.0578;1.0732;1.0297;1.0678;1.102;1.0977;1.0141;1.0059;1.07;1.0831;1.0832;1.0006;1.0111;1.0749
;29.03.2021;1.0676;1.0329;1.0282;1.0256;1.0423;1.1239;2.1077;1.1541;3.6888;5.9412;5.7105;2.8726;2.045;2.3207;2.2935;2.5894;2.3475;1.1776;1.1094;1.255;1.6525;3.3563;1.1824;1.1377
;30.03.2021;1.1927;1.1814;1.0879;1.1211;1.1296;1.2166;2.2143;1.5142;3.8608;5.6201;6.7456;3.1468;6.0306;6.365;4.6269;4.3436;2.8124;1.7444;3.3649;1.4249;1.3841;1.2853;1.146;1.2675
;31.03.2021;1.1237;1.0916;1.0588;1.1442;1.2266;1.0918;2.2496;2.6225;5.5592;2.4177;2.7668;2.7653;6.1157;6.7436;4.949;4.7757;4.0691;2.8237;3.0833;2.8708;2.6256;2.2804;1.2555;1.5206
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
J;Maximum consumption (per hour):;2.2226;kWh;22.03.2021 20-21;;;;;;;;;;;;;;;;;;;;;
;Minimum consumption (per hour):;0;kWh;28.03.2021 03-04;;;;;;;;;;;;;;;;;;;;;
;Date / Time;00 till 01 o'clock;01 till 02 o'clock;02 till 03 o'clock;03 till 04 o'clock;04 till 05 o'clock;05 till 06 o'clock;06 till 07 o'clock;07 till 08 o'clock;08 till 09 o'clock;09 till 10 o'clock;10 till 11 o'clock;11 till 12 o'clock;12 till 13 o'clock;13 till 14 o'clock;14 till 15 o'clock;15 till 16 o'clock;16 till 17 o'clock;17 till 18 o'clock;18 till 19 o'clock;19 till 20 o'clock;20 till 21 o'clock;21 till 22 o'clock;22 till 23 o'clock;23 till 24 o'clock
;01.03.2021;0.0417;0.2454;0.042;0.3004;0.2436;0.0421;0.0422;0.2971;0.0427;0.4898;0.4947;0.4943;0.4942;0.5027;0.2445;0.5064;0.5049;0.3025;0.5043;0.2435;0.3014;0.5091;0.2466;0.3002
;02.03.2021;0.2439;0.0419;0.3028;0.0419;0.2452;0.0421;0.0423;0.3024;0.4991;0.2424;0.5026;0.5022;0.5029;0.5067;0.5093;0.303;0.504;0.4982;0.2379;0.2954;0.0423;0.2403;0.2987;0.0417
;03.03.2021;0.5135;0.2481;0.3077;0.2461;0.3063;0.042;0.2466;0.3017;0.2454;0.507;0.508;0.3035;0.7179;0.5029;0.4951;0.5049;0.2932;0.4783;0.4863;0.488;0.2389;0.2954;0.4978;0.0421
;04.03.2021;0.2412;0.2986;0.0419;0.2424;0.2967;0.042;0.0423;0.2393;0.2941;0.4918;0.4898;0.4896;0.4979;0.9488;0.492;0.4863;0.4786;0.2316;0.2863;0.473;0.2446;0.4881;0.2939;0.2371
;05.03.2021;0.2938;0.0418;0.2395;0.2966;0.0421;0.0421;0.2371;0.2904;0.0428;0.4872;0.6925;0.4898;0.7364;0.2362;0.489;0.4907;0.4937;0.2979;0.46;0.2754;0.3031;0.2406;0.2995;0.2447
;06.03.2021;0.3022;0.042;0.2412;0.2991;0.0421;0.0423;0.2422;0.2978;0.043;0.2398;0.4976;0.4996;0.298;0.2414;0.2968;0.2386;0.2957;0.2415;0.2989;0.2399;0.2998;0.2438;0.3027;0.2437
;07.03.2021;0.3003;0.042;0.042;0.2442;0.3039;0.0421;0.0424;0.2426;0.0429;0.2983;0.2426;0.2987;0.5004;0.5033;0.2427;0.2982;0.2426;0.297;0.2421;0.501;0.298;0.2422;0.303;0.5013
;08.03.2021;0.0419;0.2419;0.042;0.2984;0.0419;0.0421;0.2392;0.2931;0.2387;0.4913;0.4999;0.3008;0.4952;0.4934;0.4953;0.4932;0.4978;0.2399;0.2937;0.4904;0.2427;0.2941;0.2413;0.2963
;09.03.2021;0.2413;0.2953;0.0419;0.0465;0.2868;0.0422;0.2928;0.0522;0.2716;0.4922;0.4901;0.2954;0.492;0.4914;0.2384;0.4901;0.2961;0.4876;0.2382;0.2955;0.2411;0.4941;0.2989;0.2413
;10.03.2021;0.301;0.0419;0.0419;0.2424;0.3003;0.0421;0.0422;0.238;0.294;0.4878;0.4936;0.6895;0.4881;0.48;0.2885;0.4778;0.4813;0.2344;0.2915;0.4878;0.2369;0.2938;0.2401;0.2982
;11.03.2021;0.2422;0.3036;0.2416;0.0421;0.2976;0.042;0.0426;0.2413;0.2958;0.4811;0.6786;0.4715;0.473;0.4808;0.4695;0.4719;0.2865;0.4782;0.2341;0.4787;0.2901;0.5547;0.2383;0.295
;12.03.2021;0.2402;0.042;0.0422;0.2958;0.0421;0.2389;0.0423;0.2914;0.2365;0.4874;0.4929;0.9428;0.7385;0.4895;0.6823;0.7341;0.4917;0.4906;0.4888;0.4917;0.4864;0.2407;0.2952;0.2412
;13.03.2021;0.2955;0.0418;0.2408;0.296;0.0418;0.2376;0.0424;0.2934;0.0427;0.2375;0.4924;0.2952;0.4867;0.4893;0.4908;0.2403;0.2955;0.239;0.2931;0.2395;0.2937;0.2396;0.2986;0.2421
;14.03.2021;0.0418;0.2968;0.5004;0.5059;0.5003;0.4909;0.2422;0.0428;0.2924;0.2369;0.4892;0.2987;0.4939;0.2397;0.295;0.4947;0.4903;0.2389;0.2944;0.2393;0.2937;0.4894;0.2403;0.2959
;15.03.2021;0.0418;0.2394;0.2975;0.0418;0.2376;0.042;0.2936;0.0427;0.4867;0.4915;0.4941;0.9441;0.4875;0.4888;0.4904;0.2402;0.4912;0.4927;0.2983;0.4926;0.2403;0.2963;0.4016;0.1395
;16.03.2021;0.2416;0.298;0.0418;0.241;0.042;0.0419;0.2986;0.0427;0.2392;0.2952;0.4909;0.4926;0.4976;0.4852;0.4764;0.4795;0.2362;0.2824;0.4803;0.2331;0.2909;0.2365;0.483;0.4933
;17.03.2021;0.2982;0.0418;0.0419;0.2418;0.2922;0.0421;0.0423;0.0426;0.4907;0.4818;0.2342;0.4846;0.4768;0.4728;0.4715;0.4785;0.4744;0.2825;0.4739;0.2393;0.4853;0.288;0.236;0.2983
;18.03.2021;0.2401;0.0419;0.2978;0.0419;0.2363;0.0421;0.2914;0.0427;0.2399;0.4779;0.4785;0.2862;0.6739;0.49;0.4101;0.3554;0.4762;0.4789;0.4791;0.238;0.2853;0.484;0.2307;0.2867
;19.03.2021;0.2387;0.2927;0.042;0.2385;0.2888;0.042;0.0423;0.2382;0.2848;0.6903;0.7532;0.6898;0.7579;0.8648;0.542;0.4787;0.4703;0.4815;0.4815;0.2336;0.2868;0.2333;0.2946;0.237
;20.03.2021;0.2827;0.2372;0.0419;0.2855;0.0421;0.2493;0.0777;0.2305;0.1017;0.2406;0.4963;0.4775;0.2926;0.4815;0.2378;0.2924;0.2403;0.2913;0.2368;0.2841;0.2329;0.293;0.2333;0.296
;21.03.2021;0.0419;0.2366;0.0419;0.2898;0.0421;0.2405;0.0423;0.0427;0.2916;0.2387;0.4878;0.7401;0.6853;0.4881;0.2897;0.4214;0.0975;0.2349;0.2892;0.2361;0.2885;0.4793;0.4875;0.4858
;22.03.2021;0.0418;0.236;0.042;0.2897;0.0419;0.042;0.2361;0.0425;0.4828;0.4808;0.7354;0.6898;0.7472;0.936;0.4717;0.4776;0.6861;1.1897;2.1188;2.2197;2.2226;2.0024;0.7774;0.0419
;23.03.2021;0.2459;0.3043;0.0419;0.2467;0.3019;0.042;0.0424;0.2437;0.2995;0.4986;0.5002;0.4986;0.5052;0.6987;0.7588;0.4977;0.2405;0.2999;0.4942;0.2382;0.495;0.2967;0.2407;0.2968
;24.03.2021;0.4989;0.0419;0.2403;0.2968;0.042;0.042;0.2421;0.2908;0.239;0.4868;0.481;0.4898;0.4921;0.49;0.4886;0.4838;0.4873;0.297;0.4828;0.2339;0.4871;0.2951;0.2368;0.295
;25.03.2021;0.5016;0.2413;0.0417;0.2993;0.0418;0.2374;0.0423;0.2919;0.2374;0.4859;0.4898;0.7368;0.4874;0.4877;0.4875;0.2358;0.7378;0.2377;0.4836;0.2909;0.2344;0.4909;0.2956;0.2396
;26.03.2021;0.2947;0.042;0.2376;0.295;0.042;0.0425;0.2376;0.2929;0.2352;0.4857;0.4876;0.4822;0.7429;0.4933;0.4902;0.4899;0.4944;0.4919;0.4012;0.1669;0.4569;0.2366;0.2952;0.2377
;27.03.2021;0.2977;0.2382;0.0421;0.299;0.0425;0.236;0.0423;0.0433;0.2938;0.2369;0.7402;0.2358;0.2977;0.4926;0.2384;0.2958;0.239;0.2934;0.2368;0.2971;0.2388;0.2943;0.4956;0.0419
;28.03.2021;0.4971;0.2396;0.2983;0;0.042;0.0419;0.2396;0.0422;0.294;0.0429;0.2625;0.2667;0.4916;0.4837;0.2357;0.2953;0.2373;0.2955;0.2364;0.3016;0.2384;0.2954;0.4996;0.2378
;29.03.2021;0.2985;0.2338;0.0419;0.298;0.0421;0.042;0.2383;0.0424;0.2967;0.491;0.4912;0.4907;0.6883;0.4912;0.4925;0.4931;0.4884;0.2955;0.4871;0.236;0.2959;0.4857;0.4884;0.2378
;30.03.2021;0.2938;0.0419;0.2374;0.0418;0.2987;0.0421;0.2412;0.2968;0.2388;0.2967;0.4983;0.6901;0.4919;0.5946;0.3825;0.7351;0.4891;0.4903;0.2399;0.4951;0.2998;0.497;0.2407;0.2972
;31.03.2021;0.2409;0.2938;0.042;0.174;0.1063;0.2969;0.496;0.0425;0.2364;0.4916;0.7417;0.4855;0.6834;0.7499;0.4914;0.6872;0.4911;0.5059;0.4813;0.2977;0.494;0.2371;0.4948;0.2995
