Faculty Building NO or complex NO.;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
C;Maximum consumption (per hour):;231.058;kWh;21.09.2021 14-15;;;;;;;;;;;;;;;;;;;;;
;Minimum consumption (per hour):;128.154;kWh;08.09.2021 01-02;;;;;;;;;;;;;;;;;;;;;
;Date / Time;00 till 01 o'clock;01 till 02 o'clock;02 till 03 o'clock;03 till 04 o'clock;04 till 05 o'clock;05 till 06 o'clock;06 till 07 o'clock;07 till 08 o'clock;08 till 09 o'clock;09 till 10 o'clock;10 till 11 o'clock;11 till 12 o'clock;12 till 13 o'clock;13 till 14 o'clock;14 till 15 o'clock;15 till 16 o'clock;16 till 17 o'clock;17 till 18 o'clock;18 till 19 o'clock;19 till 20 o'clock;20 till 21 o'clock;21 till 22 o'clock;22 till 23 o'clock;23 till 24 o'clock
;01.09.2021;135.534;133.164;135.336;135.586;139.492;139.242;164.356;182.598;201.984;211.132;218.244;218.016;213.136;229.384;220.952;218.158;208.128;191.32;187.916;182.754;178.676;184.026;150.37;147.786
;02.09.2021;148.056;144.774;141.366;142.142;135.056;137.856;162.97;183.188;209.778;217.614;217.462;228.752;225.142;220.824;217.176;212.898;206.948;197.598;196.61;192.806;183.178;185.642;146.674;142.008
;03.09.2021;144.104;144.664;143.562;145.276;149.748;150.562;175.108;188.318;201.058;209.986;215.458;213.974;221.564;221.656;218.158;207.166;199.94;191.386;189.5;186.584;181.574;175.924;147.102;143.688
;04.09.2021;143.428;147.27;146.906;139.476;140.574;163.616;169.268;168.244;170.514;178.638;178.712;180.216;185.12;186.714;186.508;182.514;183.656;179.526;171.69;170.404;141.348;134.184;132.244;134.464
;05.09.2021;131.75;132.274;134.556;132.904;137;135.436;132.568;133.244;135.15;138.978;143.378;146.71;145.01;142.576;144.136;141.19;140.83;144.03;143.752;139.672;137.044;133.14;134.634;135.686
;06.09.2021;135.64;134.81;136.346;164.182;166.796;165.166;165.686;177.13;190.524;203.196;216.588;225.67;223.378;218.356;208.926;205.344;197.346;187.262;188.69;184.238;177.962;177.876;143.204;138.276
;07.09.2021;140.206;136.676;137.56;139.29;141.408;142.97;169.066;181.704;204.382;215.39;216.866;214.312;222.702;219.88;209.618;206.444;203.094;191.12;179.594;178.606;175.534;168.476;134.958;129.972
;08.09.2021;130.28;128.154;128.634;129.478;137.5;132.816;162.382;179.078;190.032;209.308;199.772;207.286;200.292;208.848;206.138;200.332;196.342;192.634;181.692;174.934;170.728;172.698;143.288;135.362
;09.09.2021;135.814;137.88;134.588;133.706;134.948;136.216;161.056;176.456;189.05;196.838;210.81;211.736;209.472;215.144;213.382;207.58;206.544;201.644;199.978;189.294;178.032;172.83;145.932;138
