barra_mnemotecnico	barra_referencia_mnemotecnico	fecha	hora	costo_en_dolares	costo_en_pesos	nombre
BA01T0002SE038T0002	BA02T0002SE032T0002	2023-01-02	20	6,79	5,83607	BA S/E VALDIVIA 220KV BP1
BA01T0002SE038T0002	BA02T0002SE032T0002	2023-01-02	21	136,96	117,71849	BA S/E VALDIVIA 220KV BP1
BA01T0002SE038T0002	BA02T0002SE032T0002	2023-01-02	22	137,36	118,06229	BA S/E VALDIVIA 220KV BP1
BA01T0002SE038T0002	BA02T0002SE032T0002	2023-01-02	23	136,17	117,03948	BA S/E VALDIVIA 220KV BP1
BA01T0002SE038T0002	BA02T0002SE032T0002	2023-01-02	24	127,15	109,2867	BA S/E VALDIVIA 220KV BP1
BA01T0002SE038T0002	BA02T0002SE032T0002	2023-01-03	1	124,17	106,72536	BA S/E VALDIVIA 220KV BP1
BA01T0002SE038T0002	BA02T0002SE032T0002	2023-01-03	2	123,15	105,84866	BA S/E VALDIVIA 220KV BP1
BA01T0002SE038T0002	BA02T0002SE032T0002	2023-01-03	3	118,02	101,43937	BA S/E VALDIVIA 220KV BP1
BA01T0002SE038T0002	BA02T0002SE032T0002	2023-01-03	4	118,02	101,43937	BA S/E VALDIVIA 220KV BP1
BA01T0002SE038T0002	BA02T0002SE032T0002	2023-01-03	5	118,02	101,43937	BA S/E VALDIVIA 220KV BP1
BA01T0002SE038T0002	BA02T0002SE032T0002	2023-01-03	6	125,36	107,74817	BA S/E VALDIVIA 220KV BP1
BA01T0002SE038T0002	BA02T0002SE032T0002	2023-01-03	7	109,97	94,52031	BA S/E VALDIVIA 220KV BP1
BA01T0002SE038T0002	BA02T0002SE032T0002	2023-01-03	8	75,76	65,11648	BA S/E VALDIVIA 220KV BP1
BA01T0002SE038T0002	BA02T0002SE032T0002	2023-01-03	9	15,96	13,71778	BA S/E VALDIVIA 220KV BP1
BA01T0002SE038T0002	BA02T0002SE032T0002	2023-01-03	10	0,0	0,0	BA S/E VALDIVIA 220KV BP1
BA01T0002SE038T0002	BA02T0002SE032T0002	2023-01-03	11	130,06	111,78787	BA S/E VALDIVIA 220KV BP1
BA01T0002SE038T0002	BA02T0002SE032T0002	2023-01-03	12	307,32	264,14461	BA S/E VALDIVIA 220KV BP1
BA01T0002SE038T0002	BA02T0002SE032T0002	2023-01-03	13	307,32	264,14461	BA S/E VALDIVIA 220KV BP1
BA01T0002SE038T0002	BA02T0002SE032T0002	2023-01-03	14	307,32	264,14461	BA S/E VALDIVIA 220KV BP1
BA01T0002SE038T0002	BA02T0002SE032T0002	2023-01-03	15	307,32	264,14461	BA S/E VALDIVIA 220KV BP1
BA01T0002SE038T0002	BA02T0002SE032T0002	2023-01-03	16	307,32	264,14461	BA S/E VALDIVIA 220KV BP1
BA01T0002SE038T0002	BA02T0002SE032T0002	2023-01-03	17	307,32	264,14461	BA S/E VALDIVIA 220KV BP1
BA01T0002SE038T0002	BA02T0002SE032T0002	2023-01-03	18	307,32	264,14461	BA S/E VALDIVIA 220KV BP1
BA01T0002SE038T0002	BA02T0002SE032T0002	2023-01-03	19	310,73	267,07554	BA S/E VALDIVIA 220KV BP1
BA01T0002SE038T0002	BA02T0002SE032T0002	2023-01-03	20	140,91	121,11355	BA S/E VALDIVIA 220KV BP1
BA01T0002SE038T0002	BA02T0002SE032T0002	2023-01-03	21	104,8	90,07665	BA S/E VALDIVIA 220KV BP1
BA01T0002SE038T0002	BA02T0002SE032T0002	2023-01-03	22	147,58	126,84649	BA S/E VALDIVIA 220KV BP1
BA01T0002SE038T0002	BA02T0002SE032T0002	2023-01-03	23	152,69	131,23858	BA S/E VALDIVIA 220KV BP1
BA01T0002SE038T0002	BA02T0002SE032T0002	2023-01-03	24	146,4	125,83226	BA S/E VALDIVIA 220KV BP1
BA01T0002SE038T0002	BA02T0002SE032T0002	2023-01-04	1	139,75	119,60644	BA S/E VALDIVIA 220KV BP1
BA01T0002SE038T0002	BA02T0002SE032T0002	2023-01-04	2	138,63	118,64787	BA S/E VALDIVIA 220KV BP1
BA01T0002SE038T0002	BA02T0002SE032T0002	2023-01-04	3	134,35	114,98479	BA S/E VALDIVIA 220KV BP1
BA01T0002SE038T0002	BA02T0002SE032T0002	2023-01-04	4	133,19	113,99199	BA S/E VALDIVIA 220KV BP1
BA01T0002SE038T0002	BA02T0002SE032T0002	2023-01-04	5	141,14	120,79608	BA S/E VALDIVIA 220KV BP1
BA01T0002SE038T0002	BA02T0002SE032T0002	2023-01-04	6	138,62	118,63931	BA S/E VALDIVIA 220KV BP1
BA01T0002SE038T0002	BA02T0002SE032T0002	2023-01-04	7	125,67	107,55593	BA S/E VALDIVIA 220KV BP1
BA01T0002SE038T0002	BA02T0002SE032T0002	2023-01-04	8	110,11	94,23874	BA S/E VALDIVIA 220KV BP1
BA01T0002SE038T0002	BA02T0002SE032T0002	2023-01-04	9	0,0	0,0	BA S/E VALDIVIA 220KV BP1
BA01T0002SE038T0002	BA02T0002SE032T0002	2023-01-04	10	0,0	0,0	BA S/E VALDIVIA 220KV BP1
BA01T0002SE038T0002	BA02T0002SE032T0002	2023-01-04	11	0,0	0,0	BA S/E VALDIVIA 220KV BP1
BA01T0002SE038T0002	BA02T0002SE032T0002	2023-01-04	12	0,0	0,0	BA S/E VALDIVIA 220KV BP1
BA01T0002SE038T0002	BA02T0002SE032T0002	2023-01-04	13	0,0	0,0	BA S/E VALDIVIA 220KV BP1
BA01T0002SE038T0002	BA02T0002SE032T0002	2023-01-04	14	0,0	0,0	BA S/E VALDIVIA 220KV BP1
BA01T0002SE038T0002	BA02T0002SE032T0002	2023-01-04	15	0,0	0,0	BA S/E VALDIVIA 220KV BP1
BA01T0002SE038T0002	BA02T0002SE032T0002	2023-01-04	16	0,0	0,0	BA S/E VALDIVIA 220KV BP1
BA01T0002SE038T0002	BA02T0002SE032T0002	2023-01-04	17	0,0	0,0	BA S/E VALDIVIA 220KV BP1
BA01T0002SE038T0002	BA02T0002SE032T0002	2023-01-04	18	0,0	0,0	BA S/E VALDIVIA 220KV BP1
BA01T0002SE038T0002	BA02T0002SE032T0002	2023-01-04	19	0,0	0,0	BA S/E VALDIVIA 220KV BP1
BA01T0002SE038T0002	BA02T0002SE032T0002	2023-01-04	20	54,67	46,78987	BA S/E VALDIVIA 220KV BP1
BA01T0002SE038T0002	BA02T0002SE032T0002	2023-01-04	21	148,24	126,87269	BA S/E VALDIVIA 220KV BP1
BA01T0002SE038T0002	BA02T0002SE032T0002	2023-01-04	22	155,45	133,04344	BA S/E VALDIVIA 220KV BP1
BA01T0002SE038T0002	BA02T0002SE032T0002	2023-01-04	23	140,83	120,53076	BA S/E VALDIVIA 220KV BP1
BA01T0002SE038T0002	BA02T0002SE032T0002	2023-01-04	24	137,75	117,89472	BA S/E VALDIVIA 220KV BP1
BA01T0002SE038T0002	BA02T0002SE032T0002	2023-01-05	1	133,65	113,88851	BA S/E VALDIVIA 220KV BP1
BA01T0002SE038T0002	BA02T0002SE032T0002	2023-01-05	2	128,91	109,84937	BA S/E VALDIVIA 220KV BP1
