id,e_dem,e_ch,satisfaction,cp
CE5491,17.960000000000004,18.00666665946398,1.002598366339865,cp8
CE5487,13.400000000000006,13.443333327956008,1.003233830444478,cp4
CE5486,23.895000000000007,23.063333324107912,0.9651949497429548,cp3
CE5488,25.41,23.063333324107912,0.907647907284845,cp5
CE5485,8.04,8.041284162102855,1.000159721654584,cp2
CE5483,14.740000000000007,14.851999359702074,1.0075983283379963,cp0
CE5493,13.47,13.538407196247821,1.0050784852448271,cp10
CE5510,10.720000000000002,10.729999995708006,1.0009328354205227,cp3
CE5492,20.205000000000005,20.275771143017575,1.0035026549377664,cp9
CE5512,15.715000000000002,15.78666666035201,1.0045603983679292,cp5
CE5484,18.585,18.674386359138698,1.0048095969404733,cp1
CE5489,13.47,13.576154846287336,1.007880834913685,cp6
CE5511,9.38,9.496666662868005,1.012437810540299,cp4
CE5490,8.04,8.120061753002028,1.0099579294778644,cp7
CE5513,13.47,13.566666661240008,1.0071764410720125,cp8
CE5494,13.400000000000006,13.502876245973772,1.007677331789087,cp11
CE5524,17.960000000000004,18.006314023786736,1.0025787318366777,cp7
CE5525,21.24000000000001,21.336666658131936,1.0045511609289983,cp8
CE5520,26.55000000000001,22.693333324255917,0.8547394849060606,cp3
CE5523,24.69500000000001,22.44666665768792,0.9089559286368865,cp6
CE5527,20.205000000000005,20.29665699777319,1.0045363522778117,cp10
CE5518,15.93,15.968881822343794,1.0024407923630756,cp1
CE5521,26.94000000000001,23.679999990527904,0.8789903485719338,cp4
CE5545,8.04,8.139999996744004,1.0124378105402991,cp1
CE5526,22.45000000000001,22.52378884203698,1.0032868081085509,cp9
CE5519,9.38,9.436546665555122,1.006028429163659,cp2
CE5517,23.895000000000007,23.960162420539813,1.002727031619159,cp0
CE5522,13.47,13.556511620970996,1.006422540532368,cp5
CE5546,15.93,16.03333332692001,1.0064867122988077,cp3
CE5528,10.720000000000002,10.836331360811208,1.0108518060458214,cp11
CE5552,9.38,9.470545810534691,1.0096530714855747,cp5
CE5553,21.24000000000001,21.336666658131936,1.0045511609289983,cp6
CE5550,25.41,23.063333324107912,0.907647907284845,cp3
CE5547,17.960000000000004,18.025742326311935,1.003660485874829,cp0
CE5570,21.24000000000001,20.473333325143948,0.9639045821630856,cp6
CE5569,17.960000000000004,18.00666665946398,1.002598366339865,cp5
CE5557,8.04,8.13586103728754,1.0119230145880027,cp10
CE5568,17.960000000000004,18.00666665946398,1.002598366339865,cp3
CE5555,15.93,16.01086960949856,1.005076560546049,cp8
CE5554,9.38,9.395218253254608,1.0016224150591266,cp7
CE5548,9.38,9.415720755153123,1.0038081828521452,cp1
CE5549,18.585,18.601290663238316,1.0008765490039448,cp2
CE5551,43.56000000000002,43.659999982535965,1.0022956837129464,cp4
CE5558,13.47,13.549527063644922,1.0059040136336244,cp11
CE5556,8.04,8.094559557604303,1.006786014627401,cp9
CE5583,18.585,18.623333325883973,1.0020625948821078,cp7
CE5582,21.78,21.583333324699932,0.9909703087557361,cp6
CE5581,12.060000000000004,12.11547877955191,1.0046002304769408,cp5
CE5584,21.24000000000001,21.264276847110864,1.001142977735916,cp8
CE5598,13.47,13.566666661240008,1.0071764410720125,cp6
CE5578,15.715000000000002,15.818367794132632,1.0065776515515514,cp2
CE5597,13.47,13.566666661240008,1.0071764410720125,cp5
CE5577,18.585,18.64435352577294,1.0031936252769942,cp1
CE5599,17.960000000000004,18.00666665946398,1.002598366339865,cp7
CE5576,26.55000000000001,26.655474656829732,1.003972680106581,cp0
CE5580,18.585,18.62410805318951,1.0021042805052198,cp4
CE5585,8.04,8.07628392474065,1.0045129259627676,cp9
CE5586,17.960000000000004,18.024075921189475,1.0035677016252489,cp10
CE5579,9.38,9.490134642108025,1.011741433060557,cp3
CE5587,8.04,8.080574573215308,1.0050465887083717,cp11
CE5613,13.47,13.562370946696557,1.0068575313063517,cp9
CE5605,9.38,9.445452225348292,1.006977849184253,cp1
CE5611,9.38,9.383640185658372,1.000388079494496,cp7
CE5610,18.585,18.623333325883973,1.0020625948821078,cp6
CE5614,10.720000000000002,10.74451200353737,1.0022865674941575,cp10
CE5632,13.400000000000006,13.443333327956008,1.003233830444478,cp1
CE5607,29.040000000000003,29.13399919216526,1.00323688678255,cp3
CE5612,18.585,18.620737368237172,1.0019229146213167,cp8
CE5606,13.47,13.547476207134284,1.0057517599951213,cp2
CE5635,18.585,18.623333325883973,1.0020625948821078,cp9
CE5608,8.04,8.083686422000019,1.0054336345771169,cp4
CE5615,10.720000000000002,10.77618007472653,1.0052406786125494,cp11
CE5634,12.060000000000004,12.086666661832007,1.0022111659893866,cp7
CE5633,12.060000000000004,12.086666661832007,1.0022111659893866,cp6
CE5604,8.04,8.090278237410372,1.006253512115718,cp0
CE5609,21.24000000000001,21.294373839329943,1.0025599736031041,cp5
CE5640,8.04,8.139999996744004,1.0124378105402991,cp1
CE5641,14.740000000000007,14.799999994080009,1.004070555907734,cp2
CE5639,9.38,9.496666662868005,1.012437810540299,cp0
CE5642,15.715000000000002,15.78666666035201,1.0045603983679292,cp0
