id,e_dem,e_ch,satisfaction,cp
CE4818,21.24000000000001,21.08999999156394,0.9929378527101662,cp9
CE4809,15.715000000000002,15.734134603527021,1.001217601242572,cp0
CE4812,23.895000000000007,22.939999990823914,0.9600334794234738,cp3
CE4816,8.04,8.137192674305439,1.012088641082766,cp7
CE4810,15.715000000000002,15.782828335592745,1.0043161524398818,cp1
CE4814,9.38,9.483842321766403,1.0110706099964182,cp5
CE4828,10.720000000000002,10.729999995708006,1.0009328354205227,cp0
CE4829,8.04,8.139999996744004,1.0124378105402991,cp3
CE4811,8.04,8.10261605010334,1.0077880659332512,cp2
CE4815,15.715000000000002,15.791429591330642,1.0048634801992136,cp6
CE4830,13.47,13.566666661240008,1.0071764410720125,cp9
CE4813,8.04,8.124904017998222,1.0105602012435602,cp4
CE4817,9.38,9.469586604754026,1.0095508107413673,cp8
CE4820,15.93,15.998172563986936,1.0042795080971083,cp11
CE4819,8.04,8.063775372541901,1.0029571358882963,cp10
CE4836,15.715000000000002,15.78666666035201,1.0045603983679292,cp0
CE4841,10.720000000000002,10.729999995708006,1.0009328354205227,cp4
CE4837,8.04,8.139999996744004,1.0124378105402991,cp0
CE4840,15.715000000000002,15.78666666035201,1.0045603983679292,cp3
CE4839,24.69500000000001,24.78999999008389,1.0038469321759012,cp2
CE4838,25.41,25.52999998978788,1.004722549775202,cp1
CE4852,15.93,15.931574678690016,1.000098849886379,cp10
CE4851,13.47,13.513181810962303,1.0032057766119007,cp9
CE4843,20.205000000000005,20.30008068665112,1.0047057998837474,cp1
CE4869,8.04,8.139999996744004,1.0124378105402991,cp9
CE4847,17.960000000000004,18.014729536651302,1.0030473015952839,cp5
CE4844,10.720000000000002,10.811669532887501,1.0085512623962218,cp2
CE4845,12.060000000000004,12.090713529089738,1.0025467271218684,cp3
CE4846,8.04,8.073837721714881,1.0042086718550849,cp4
CE4848,17.960000000000004,17.99379892404446,1.0018819000024752,cp6
CE4853,12.060000000000004,12.124048270066373,1.0053108018297154,cp11
CE4870,29.040000000000003,21.213333324847937,0.7304866847399427,cp10
CE4842,13.47,13.510540501615337,1.003009688315912,cp0
CE4868,21.24000000000001,21.336666658131936,1.0045511609289983,cp1
CE4849,15.715000000000002,15.82363873717035,1.0069130599535698,cp7
CE4850,17.960000000000004,17.98797227479533,1.0015574763249067,cp8
CE4881,29.040000000000003,19.979999992007954,0.6880165286504116,cp10
CE4872,9.38,9.385919117651634,1.000631035996976,cp1
CE4877,8.04,8.125737089510425,1.0106638171032867,cp6
CE4875,15.715000000000002,15.770038383530707,1.003502283393618,cp4
CE4894,20.205000000000005,20.22666665857595,1.0010723414291485,cp10
CE4873,18.585,18.585950479674388,1.0000511423015543,cp2
CE4880,9.38,9.494290797602703,1.0121845200002881,cp9
CE4876,13.47,13.520900085399344,1.0037787739717403,cp5
CE4893,10.720000000000002,10.729999995708006,1.0009328354205227,cp1
CE4874,9.38,9.490539476163887,1.0117845923415656,cp3
CE4878,17.960000000000004,18.039257421542406,1.0044129967451225,cp7
CE4879,26.55000000000001,26.583264431699856,1.0012528976158133,cp8
CE4871,9.38,9.469367599333,1.0095274626154582,cp0
CE4882,15.93,15.958419095989006,1.0017839984927186,cp11
CE4899,20.205000000000005,20.266931012608065,1.0030651330169789,cp0
CE4910,15.715000000000002,15.756982439463732,1.0026714883527668,cp11
CE4909,9.38,9.39310147438957,1.00139674567053,cp10
CE4900,10.720000000000002,10.72857709596866,1.0008001022358823,cp1
CE4905,35.0,22.56999999097192,0.6448571425991977,cp6
CE4902,13.47,13.495499991563708,1.001893095142072,cp3
CE4930,29.040000000000003,18.499999992599975,0.6370523413429743,cp10
CE4904,15.93,16.038661659437356,1.0068211964493003,cp5
CE4927,15.93,16.03333332692001,1.0064867122988077,cp1
CE4901,12.060000000000004,12.182001814608657,1.0101162367005516,cp2
CE4929,9.38,9.496666662868005,1.012437810540299,cp6
CE4926,25.41,24.66666665679989,0.970746424903577,cp0
CE4907,9.38,9.398795937929881,1.0020038313358082,cp8
CE4906,10.720000000000002,10.768236191388056,1.0044996447190349,cp7
CE4928,13.47,13.566666661240008,1.0071764410720125,cp3
CE4903,15.715000000000002,15.777085798433607,1.0039507348669172,cp4
CE4908,8.04,8.074710307000423,1.0043172023632367,cp9
CE4938,13.47,13.478370487852164,1.0006214170640062,cp7
CE4939,8.04,8.067246267147723,1.0033888391974781,cp8
CE4931,21.78,21.827544982370604,1.0021829652144445,cp0
CE4941,15.93,15.994013408137054,1.0040184185898966,cp10
CE4940,13.47,13.519031839014808,1.0036400771354719,cp9
CE4933,13.47,13.531954787490292,1.004599464550133,cp2
CE4955,18.585,18.623333325883973,1.0020625948821078,cp7
CE4935,15.715000000000002,15.720056110390889,1.0003217378549722,cp4
CE4936,15.93,15.993686247261696,1.0039978811840362,cp5
CE4956,15.715000000000002,15.78666666035201,1.0045603983679292,cp8
CE4942,15.715000000000002,15.737538312861497,1.0014341910825004,cp11
CE4954,9.38,9.496666662868005,1.012437810540299,cp0
CE4957,17.960000000000004,18.00666665946398,1.002598366339865,cp9
CE4934,8.04,8.123342942717903,1.0103660376514805,cp3
CE4958,10.720000000000002,10.729999995708006,1.0009328354205227,cp10
CE4932,17.960000000000004,18.019554455235905,1.0033159496233799,cp1
CE4937,15.93,16.021436279707924,1.0057398794543582,cp6
CE4961,13.47,13.477133529598337,1.0005295864586738,cp0
CE4972,15.715000000000002,15.71843424060155,1.0002185326504325,cp11
CE4969,12.060000000000004,12.070928437331501,1.0009061722497095,cp8
CE4964,18.585,18.63405034231004,1.0026392436002174,cp3
CE4966,29.040000000000003,29.11104809857114,1.002446559868152,cp5
CE4965,9.38,9.405745195920312,1.0027446903966217,cp4
CE4967,9.38,9.466210352325463,1.009190869117853,cp6
CE4963,15.715000000000002,15.807965354037735,1.0059157081793022,cp2
CE4968,21.78,21.883686621399058,1.004760634591325,cp7
CE4992,25.41,21.82999999126793,0.8591105860396666,cp3
CE4971,15.715000000000002,15.738541579843545,1.0014980324431144,cp10
CE4991,30.0,23.063333324107912,0.7687777774702638,cp0
CE4970,10.720000000000002,10.737425376484138,1.0016255015376991,cp9
CE4993,20.205000000000005,20.22666665857595,1.0010723414291485,cp8
CE4962,23.895000000000007,23.93908512784684,1.0018449519919161,cp1
CE4994,21.24000000000001,21.336666658131936,1.0045511609289983,cp0
CE4995,15.715000000000002,15.78666666035201,1.0045603983679292,cp1
CE4996,20.205000000000005,20.22666665857595,1.0010723414291485,cp2
CE4998,13.400000000000006,13.443333327956008,1.003233830444478,cp1
CE4997,9.38,9.496666662868005,1.012437810540299,cp0
CE4999,17.960000000000004,18.00666665946398,1.002598366339865,cp2
CE5009,12.060000000000004,12.113255723953111,1.0044158975085495,cp9
CE5008,13.400000000000006,13.460141086755018,1.0044881408026127,cp8
CE5000,18.585,18.623491795526146,1.002071121631754,cp0
CE5006,15.715000000000002,15.750553682652267,1.002262404241315,cp6
CE5002,9.38,9.4098884367742,1.0031864005089763,cp2
CE5005,15.715000000000002,15.79544449340357,1.0051189623546655,cp5
CE5023,9.38,9.496666662868005,1.012437810540299,cp2
CE5024,17.960000000000004,18.00666665946398,1.002598366339865,cp6
CE5025,8.04,8.139999996744004,1.0124378105402991,cp8
