id,e_dem,e_ch,satisfaction,cp
CE4818,21.24000000000001,21.08999999156394,0.9929378527101662,cp9
CE4809,15.715000000000002,15.723227959038685,1.000523573594571,cp0
CE4812,23.895000000000007,22.939999990823914,0.9600334794234738,cp3
CE4816,8.04,8.07629412076616,1.0045141941251445,cp7
CE4810,15.715000000000002,15.820296226061906,1.0067003643691954,cp1
CE4814,9.38,9.448733145251856,1.007327627425571,cp5
CE4828,10.720000000000002,10.729999995708006,1.0009328354205227,cp0
CE4829,8.04,8.139999996744004,1.0124378105402991,cp3
CE4811,8.04,8.051512800739557,1.0014319403904923,cp2
CE4815,15.715000000000002,15.74235433834745,1.0017406515015876,cp6
CE4830,13.47,13.566666661240008,1.0071764410720125,cp9
CE4813,8.04,8.070501560847056,1.0037937264735146,cp4
CE4817,9.38,9.453433359438527,1.007828716358052,cp8
CE4820,15.93,15.983794257889345,1.0033769151217418,cp11
CE4819,8.04,8.105378511961053,1.008131655716549,cp10
CE4836,15.715000000000002,15.78666666035201,1.0045603983679292,cp0
CE4841,10.720000000000002,10.729999995708006,1.0009328354205227,cp4
CE4837,8.04,8.139999996744004,1.0124378105402991,cp0
CE4840,15.715000000000002,15.78666666035201,1.0045603983679292,cp3
CE4839,24.69500000000001,24.78999999008389,1.0038469321759012,cp2
CE4838,25.41,25.52999998978788,1.004722549775202,cp1
CE4852,15.93,16.00628300466519,1.0047886380831883,cp10
CE4851,13.47,13.48935141228869,1.0014366304594424,cp9
CE4843,20.205000000000005,20.290615080729793,1.0042373214912046,cp1
CE4869,8.04,8.139999996744004,1.0124378105402991,cp9
CE4847,17.960000000000004,18.016808223415662,1.003163041392854,cp5
CE4844,10.720000000000002,10.777496078815476,1.0053634401880107,cp2
CE4845,12.060000000000004,12.079762718441895,1.001638699704966,cp3
CE4846,8.04,8.04286262660349,1.0003560480850113,cp4
CE4848,17.960000000000004,17.996259408597023,1.0020188980287872,cp6
CE4853,12.060000000000004,12.115622927849772,1.0046121830721202,cp11
CE4870,29.040000000000003,21.213333324847937,0.7304866847399427,cp10
CE4842,13.47,13.50061429532423,1.0022727761933354,cp0
CE4868,21.24000000000001,21.336666658131936,1.0045511609289983,cp1
CE4849,15.715000000000002,15.821296208088452,1.006763996696688,cp7
CE4850,17.960000000000004,17.989938539588266,1.0016669565472307,cp8
CE4881,29.040000000000003,19.979999992007954,0.6880165286504116,cp10
CE4872,9.38,9.39719497546698,1.0018331530348592,cp1
CE4877,8.04,8.056113086229933,1.0020041152027281,cp6
CE4875,15.715000000000002,15.738860994976998,1.0015183579368117,cp4
CE4894,20.205000000000005,20.22666665857595,1.0010723414291485,cp10
CE4873,18.585,18.604946958554635,1.0010732826771394,cp2
CE4880,9.38,9.482189831928753,1.0108944383719352,cp9
CE4876,13.47,13.583895473965116,1.0084554917568758,cp5
CE4893,10.720000000000002,10.729999995708006,1.0009328354205227,cp1
CE4874,9.38,9.459154991359588,1.0084386984391884,cp3
CE4878,17.960000000000004,18.075491358724793,1.0064304765436964,cp7
CE4879,26.55000000000001,26.562934305031526,1.0004871677977971,cp8
CE4871,9.38,9.41253108865851,1.003468133119244,cp0
CE4882,15.93,15.951395883130733,1.0013431188405983,cp11
CE4899,20.205000000000005,20.228335604452056,1.0011549420664216,cp0
CE4910,15.715000000000002,15.770236849464235,1.0035149124698843,cp11
CE4909,9.38,9.401951254438845,1.002340219023331,cp10
CE4900,10.720000000000002,10.741481852018463,1.0020039041061997,cp1
CE4905,35.0,22.56999999097192,0.6448571425991977,cp6
CE4902,13.47,13.49653800145554,1.0019701560100625,cp3
