id,e_dem,e_ch,satisfaction,cp
CE0005,21.78,21.802668771013128,1.001040806749914,cp5
CE0003,15.715000000000002,15.755362915054354,1.0025684323928954,cp3
CE0001,21.78,21.812008750604992,1.0014696396053715,cp1
CE0032,8.04,8.139999996744004,1.0124378105402991,cp5
CE0009,17.960000000000004,18.050807943843385,1.005056121594843,cp9
CE0031,13.47,13.566666661240008,1.0071764410720125,cp3
CE0000,20.205000000000005,20.327514055561025,1.0060635513764424,cp0
CE0004,13.47,13.499252259283194,1.0021716599319372,cp4
CE0006,15.93,15.976945623685335,1.002946994581628,cp6
CE0011,9.38,9.381530255134404,1.0001631402062263,cp11
CE0010,13.47,13.477968745152722,1.0005915920677595,cp10
CE0008,25.41,25.5098525843252,1.0039296569982368,cp8
CE0030,15.93,16.03333332692001,1.0064867122988077,cp1
CE0007,18.585,18.69254372269744,1.0057865871776939,cp7
CE0002,21.24000000000001,21.26973870580811,1.0014001273920952,cp2
CE0039,15.715000000000002,15.721139427715022,1.0003906730967242,cp5
CE0041,18.585,18.586629230854278,1.0000876637532568,cp7
CE0060,13.47,13.566666661240008,1.0071764410720125,cp5
CE0034,10.720000000000002,10.745977515779106,1.0024232757256626,cp0
CE0036,9.38,9.434442731811286,1.0058041291909685,cp2
CE0037,21.24000000000001,21.349144275897668,1.0051386193925451,cp3
CE0042,25.41,25.47605808263988,1.0025996884155797,cp8
CE0043,20.205000000000005,20.224232153478518,1.0009518511991344,cp9
CE0040,15.715000000000002,15.782636767694331,1.0043039623095342,cp6
CE0045,21.24000000000001,21.29052180249713,1.0023786159367758,cp11
CE0061,12.060000000000004,12.086666661832007,1.0022111659893866,cp7
CE0038,8.04,8.068490178075733,1.0035435544870315,cp4
CE0035,32.67000000000001,32.78551122170644,1.0035356970219294,cp1
CE0044,8.04,8.058161092617667,1.0022588423653815,cp10
CE0067,17.960000000000004,17.875795444843007,0.9953115503810135,cp3
CE0068,17.960000000000004,17.937390067816846,0.9987410950900246,cp4
CE0065,18.585,18.600399023497605,1.0008285726929032,cp1
CE0072,13.47,13.499758479922308,1.0022092412711439,cp8
CE0071,20.205000000000005,20.213224378599307,1.000407046701277,cp7
CE0089,26.55000000000001,20.596666658427946,0.7757689890180014,cp1
CE0073,23.895000000000007,23.897402419462153,1.0001005406763819,cp9
CE0064,8.04,8.040575474979173,1.000071576489947,cp0
CE0090,40.00000000000001,21.213333324847937,0.5303333331211983,cp3
CE0069,17.960000000000004,17.969159317030613,1.000509984244466,cp5
CE0092,24.69500000000001,20.34999999185995,0.8240534517861892,cp8
CE0074,9.38,9.440325832555445,1.00643132543235,cp10
CE0066,21.24000000000001,21.25746697428443,1.0008223622544454,cp2
CE0091,25.41,22.323333324403922,0.878525514537738,cp4
CE0070,26.94000000000001,26.953439906264627,1.0004988829348411,cp6
CE0075,8.04,8.092409163636532,1.0065185526911111,cp11
CE0094,13.400000000000006,13.443333327956008,1.003233830444478,cp0
CE0095,13.47,13.566666661240008,1.0071764410720125,cp1
CE0096,15.715000000000002,15.78666666035201,1.0045603983679292,cp0
CE0102,25.41,20.96666665827994,0.8251344611680418,cp5
CE0098,18.585,18.696135951536917,1.0059798736366379,cp1
CE0100,25.41,25.440993774271472,1.0012197471181217,cp3
CE0101,12.060000000000004,12.123352580869222,1.0052531161583098,cp4
CE0099,18.585,18.685253538125128,1.0053943254304616,cp2
CE0097,13.47,13.497774507404474,1.0020619530367092,cp0
CE0111,13.47,11.98314146973803,0.8896170356152954,cp8
CE0105,17.960000000000004,15.457251731936339,0.8606487601300854,cp2
CE0110,26.55000000000001,17.277764111893923,0.6507632433858349,cp7
CE0104,21.24000000000001,17.538405161693223,0.8257252900985507,cp1
CE0114,13.400000000000006,12.008638797400295,0.8961670744328575,cp11
CE0108,12.060000000000004,11.123570411174388,0.9223524387375112,cp5
CE0109,22.45000000000001,22.485058948828325,1.0015616458275418,cp6
CE0131,12.060000000000004,12.086666661832007,1.0022111659893866,cp2
CE0130,18.585,18.623333325883973,1.0020625948821078,cp1
CE0103,10.720000000000002,10.773121015373562,1.0049553185982798,cp0
CE0107,9.38,9.441212237964413,1.006525824942901,cp4
CE0113,21.24000000000001,21.2738455130613,1.0015934798993074,cp10
CE0112,13.47,13.507055505757236,1.0027509655350584,cp9
CE0106,10.720000000000002,10.825648470981703,1.009855267815457,cp3
CE0132,8.04,8.114674979564919,1.0092879327817064,cp5
CE0140,12.060000000000004,12.068489946754747,1.000703975684473,cp7
CE0141,13.47,13.532452541701051,1.004636417349744,cp8
CE0138,18.585,18.591776760977567,1.0003646360493712,cp5
CE0135,24.69500000000001,24.807531846203283,1.0045568676332566,cp2
CE0133,9.38,9.431978032716604,1.0055413680934544,cp0
CE0143,15.715000000000002,15.783205571535168,1.0043401572723618,cp10
CE0160,15.715000000000002,15.78666666035201,1.0045603983679292,cp8
CE0158,9.38,9.496666662868005,1.012437810540299,cp5
CE0142,18.585,18.637942923165845,1.0028486910500858,cp9
CE0144,17.960000000000004,18.050133774818985,1.0050185843440411,cp11
CE0137,18.585,18.685741170550273,1.0054205633871547,cp4
CE0159,13.400000000000006,13.443333327956008,1.003233830444478,cp7
CE0134,17.960000000000004,18.06930940700214,1.0060862698776245,cp1
CE0139,36.30000000000001,36.3003167110084,1.0000087248211678,cp6
CE0136,18.585,18.66343159173322,1.0042201555950079,cp3
CE0172,15.93,16.023205591046953,1.0058509473350252,cp7
CE0166,15.93,16.012179406166062,1.0051587825590749,cp1
CE0171,23.895000000000007,22.816666657539916,0.9548720091039928,cp6
