item,bs,wfa,std,s1,s2,s3,s4,s5
electricity bill,14146455.081557903,10547985.330565587,10100613.105714483,2689660.249451662,2431844.705128094,7570936.772062156,521243.87747877743,151899.36469731992
initial_investment,38100000.0,24000000.0,24000000.0,57750000.0,64750000.0,24000000.0,57750000.0,64750000.0
10-year price,309.31642811749964,219.1089593025113,223.70394393781254,196.51360956795273,211.85211829354242,199.37613350293873,166.98413820600126,180.36197753781306
npv,-40137211.387188435,-7000755.27285194,-8252898.669742329,1279126.4109949768,-4348271.976569571,201483.5260324329,11968061.576920912,7138289.752533451
irr,,0.03717461112849363,0.020806533358946666,0.12546683329842723,0.10175873279078829,0.12187375992718041,0.17208595942090277,0.14803228825325165
