id,e_dem,e_ch,satisfaction,cp
CE6174,18.585,18.606691214631088,1.0011671355733702,cp4
CE6175,9.38,9.395816153267912,1.0016861570648092,cp5
CE6177,9.38,9.406202549442796,1.0027934487678887,cp7
CE6193,21.78,21.336666658131936,0.9796449337985278,cp5
CE6171,8.04,8.043925702167432,1.0004882714138597,cp1
CE6170,15.715000000000002,15.726914834382832,1.0007581822706224,cp0
CE6176,17.960000000000004,18.02497976001378,1.003618026726825,cp6
CE6172,24.69500000000001,24.698612711599743,1.0001462932415361,cp2
CE6178,9.38,9.41907260609753,1.0041655230381161,cp8
CE6192,21.24000000000001,21.336666658131936,1.0045511609289983,cp4
CE6179,18.585,18.618838336543334,1.0018207337392162,cp9
CE6180,21.78,21.836142373290226,1.002577703089542,cp10
CE6173,8.04,8.07904531166407,1.0048563820477698,cp3
CE6181,18.585,18.610598281559383,1.0013773624729287,cp11
CE6207,8.04,8.07313380049921,1.004121119465076,cp6
CE6203,8.04,8.069276913989597,1.0036414072126365,cp2
CE6209,9.38,9.421479028844768,1.0044220713054124,cp8
CE6227,13.47,13.566666661240008,1.0071764410720125,cp6
CE6206,13.47,13.571296692469163,1.0075201701907321,cp5
CE6228,8.04,8.139999996744004,1.0124378105402991,cp8
CE6211,10.720000000000002,10.816859205187408,1.009035373618228,cp10
CE6208,9.38,9.446579320334811,1.0070980085644787,cp7
CE6202,13.47,13.525079347761851,1.0040890384381478,cp1
CE6205,17.960000000000004,18.037930983801743,1.004339141637068,cp4
CE6212,8.04,8.069372775743345,1.0036533303163364,cp11
CE6204,20.205000000000005,20.261206481904562,1.0027818105372213,cp3
CE6226,12.060000000000004,12.086666661832007,1.0022111659893866,cp2
CE6210,9.38,9.388745471556431,1.0009323530443957,cp9
CE6201,10.720000000000002,10.754489729700602,1.0032173255317722,cp0
CE6241,15.715000000000002,15.718524653902378,1.0002242859626074,cp8
CE6235,15.715000000000002,15.72462900289905,1.0006127268787177,cp2
CE6240,17.960000000000004,17.985391198528987,1.0014137638379166,cp7
CE6242,20.205000000000005,20.26060369111619,1.0027519767936741,cp9
CE6234,21.24000000000001,21.322817106018153,1.0038991104528316,cp1
CE6261,13.47,13.566666661240008,1.0071764410720125,cp2
CE6243,23.895000000000007,23.93819799741392,1.001807825796774,cp10
CE6236,15.715000000000002,15.798980662818686,1.0053439810893212,cp3
CE6238,15.715000000000002,15.793990296698464,1.0050264267705036,cp5
CE6262,8.04,8.139999996744004,1.0124378105402991,cp7
CE6244,20.205000000000005,20.320647256174386,1.0057236949356287,cp11
CE6263,8.04,8.139999996744004,1.0124378105402991,cp8
CE6239,9.38,9.392836105246182,1.001368454717077,cp6
CE6237,8.04,8.079750795337281,1.0049441287732939,cp4
CE6233,12.060000000000004,12.067454600901968,1.0006181261112739,cp0
CE6264,12.060000000000004,12.086666661832007,1.0022111659893866,cp0
CE6265,12.060000000000004,12.086666661832007,1.0022111659893866,cp1
