datetime,pcc,load,cs,cp0,cp1,cp2,cp3,cp4,cp5,cp6,cp7,cp8,cp9,cp10,cp11,n_ev
2025-02-01 00:48:00,23.071086944972254,23.071086944972254,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025-02-01 00:49:00,23.088607940932185,23.088607940932185,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025-02-01 00:50:00,23.106128936892105,23.106128936892105,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025-02-01 00:51:00,23.123649932852032,23.123649932852032,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025-02-01 00:52:00,23.14117092881196,23.14117092881196,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025-02-01 00:53:00,23.158691924771887,23.158691924771887,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025-02-01 00:54:00,23.176212920731814,23.176212920731814,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025-02-01 00:55:00,23.193733916691738,23.193733916691738,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025-02-01 00:56:00,23.21125491265166,23.21125491265166,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025-02-01 00:57:00,23.228775908611592,23.228775908611592,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025-02-01 00:58:00,23.246296904571512,23.246296904571512,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025-02-01 00:59:00,23.26381790053144,23.26381790053144,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025-02-01 01:00:00,23.28133889649137,23.28133889649137,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025-02-01 01:01:00,23.29885989245129,23.29885989245129,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025-02-01 01:02:00,23.316380888411214,23.316380888411214,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025-02-01 01:03:00,23.333901884371144,23.333901884371144,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025-02-01 01:04:00,23.351422880331075,23.351422880331075,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025-02-01 01:05:00,23.368943876291,23.368943876291,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025-02-01 01:06:00,23.38646487225092,23.38646487225092,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025-02-01 01:07:00,23.403985868210846,23.403985868210846,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025-02-01 01:08:00,23.421506864170777,23.421506864170777,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025-02-01 01:09:00,23.439027860130697,23.439027860130697,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025-02-01 01:10:00,23.45654885609062,23.45654885609062,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025-02-01 01:11:00,23.47406985205055,23.47406985205055,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025-02-01 01:12:00,23.491590848010475,23.491590848010475,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025-02-01 01:13:00,23.5091118439704,23.5091118439704,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025-02-01 01:14:00,23.52663283993033,23.52663283993033,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025-02-01 01:15:00,23.54415383589025,23.54415383589025,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025-02-01 01:16:00,23.561674831850183,23.561674831850183,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025-02-01 01:17:00,23.579195827810103,23.579195827810103,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025-02-01 01:18:00,23.596716823770034,23.596716823770034,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025-02-01 01:19:00,23.614237819729958,23.614237819729958,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025-02-01 01:20:00,23.63175881568988,23.63175881568988,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025-02-01 01:21:00,23.649279811649805,23.649279811649805,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025-02-01 01:22:00,23.666800807609736,23.666800807609736,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025-02-01 01:23:00,23.684321803569656,23.684321803569656,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025-02-01 01:24:00,23.701842799529583,23.701842799529583,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025-02-01 01:25:00,23.719363795489514,23.719363795489514,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025-02-01 01:26:00,23.736884791449434,23.736884791449434,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025-02-01 01:27:00,23.754405787409368,23.754405787409368,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025-02-01 01:28:00,23.771926783369288,23.771926783369288,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025-02-01 01:29:00,23.78944777932922,23.78944777932922,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025-02-01 01:30:00,23.806968775289143,23.806968775289143,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025-02-01 01:31:00,23.824489771249063,23.824489771249063,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025-02-01 01:32:00,23.84201076720899,23.84201076720899,0,0,0,0,0,0,0,0,0,0,0,0,0,0
