bs,wfa,std,s1,s2,s3,s4,s5
88.80000000000001,17.98332323777414,17.983323237774133,17.688434862077955,16.80376973498943,11.206121077890394,10.831739404325297,10.397819720510114
88.80000000000001,21.28302693360461,21.283026933604617,21.10529281293707,20.39435633026688,19.155458273420884,19.15545827342087,18.548415312279747
88.80000000000001,15.486563079382158,15.486563079382158,15.486563079382151,15.001449858637862,11.878733336334552,6.4691084568481685,5.11213392172008
88.80000000000001,14.341710639018451,14.112419682145905,14.112419682145877,14.112419682145891,14.341710639018451,14.112419682145877,14.112419682145877
88.80000000000001,31.00365907780076,31.003659077800744,31.00365907780076,31.00365907780076,24.131292573827942,29.509868844588933,29.509868844588933
88.80000000000001,26.966035995229333,26.966035995229326,26.966035995229333,26.966035995229333,26.966035995229333,26.966035995229333,26.966035995229333
88.80000000000001,28.777272572343406,28.777272572343406,28.660734544430042,28.60246553047337,26.102754896326438,26.122986386934294,26.122986386934294
88.80000000000001,26.664997552046326,26.664997552046334,26.66499755204632,26.664997552046326,25.343463784577214,25.328457929484312,25.106039999858478
88.80000000000001,34.94475218814081,34.94475218814083,34.94475218814082,34.944752188140825,34.94475218814081,34.94475218814082,34.944752188140825
88.80000000000001,34.600618519355436,34.588839101036776,34.55518362012626,34.553500846080716,34.08087283505811,34.08087283505809,34.0808728350581
88.80000000000001,37.20213031151823,37.20213031151823,37.20213031151823,37.20213031151823,37.20213031151823,37.20213031151823,37.20213031151823
88.80000000000001,37.10792237036958,37.10792237036958,37.10792237036958,37.018761439052675,37.10792237036958,37.10792237036958,36.7580293941837
