description,bs,wfa,std,s1,s2,s3,s4,s5
insat_evs,316,373,784,317,316,1512,554,524
sat_evs,4063,4006,3595,4062,4063,2867,3825,3855
total_evs,4379,4379,4379,4379,4379,4379,4379,4379
sat_pct,0.9278374058004111,0.9148207353277004,0.8209636903402603,0.9276090431605389,0.9278374058004111,0.6547156885133593,0.8734870975108472,0.8803379767070107
cs_energy,68822.95997247072,68671.96028979842,65261.56522107836,68771.58428930046,68768.93637150546,60536.800377261694,67947.38718492536,68134.64606247243
injected_energy,0,0,0,51337.63492876862,46451.40216676401,0,48714.93279438754,41535.97164604646
grid_energy,68822.95997247072,68671.96028979842,65261.56522107836,37680.440842377924,33026.826592303616,60536.800377261694,34233.541603292055,27457.511234991518
