bs,wfa,std,s1,s2,s3,s4,s5
0,0,0,7079.013448625622,6344.2280155657,0,6253.618424923529,5820.9688659470385
0,0,0,6281.2839897291615,5626.487173701272,0,5696.298321457182,5251.370667983725
0,0,0,5301.2667115535905,4566.427273038225,0,4758.311328290045,4212.223821381062
0,0,0,2828.301063610004,2135.514065365099,0,2562.7947358312354,1958.1301185809173
0,0,0,1931.1945955674207,1225.0548618140933,0,1747.6771394597124,1108.0911302854968
0,0,0,1400.9788422507918,900.1011323719297,0,1316.2237799253728,849.2310762239686
0,0,0,1376.5416732084325,786.5128523836904,0,1360.2483338240415,786.5357001078766
0,0,0,2801.4435232112864,2055.121720559129,0,2776.545297865856,2049.0075366775936
0,0,0,4091.3115326285943,3473.4330399991495,0,4054.1329393949195,3449.3235301145587
0,0,0,5485.5783372710885,4732.958787218971,0,5438.983061874956,4698.959031703399
0,0,0,6029.437308599643,5324.698197738865,0,6027.168562724038,5324.038174971499
0,0,0,6731.283902512985,6033.711633201858,0,6722.930868816659,6028.091992069325
